run_id,call_id,batch_id,provider,model,temperature,timestamp_utc,prompt_id,prompt_hash,experiment_type,condition_id,condition_name,label_cue,score_cue,symptom_cue,profile_id,profile_short,ia_like_profile,task_id,task_name,repeat_id,sample_in_call,input_tokens,output_tokens,total_tokens,range_valid,overall_accuracy,accuracy_1back,accuracy_2back,accuracy_3back,,,,
deepseek_ia_strict_20260603T045425Z,5fb6e243-fc6c-4c9b-82a1-9f47a74f5ab0,1,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:30.750614+00:00,IA_individual_questionnaire_only_S0001_nback,29cc11191f10,individual_prediction,,,,,,,,,nback,n-back working-memory task,1,1,1469,311,1780,TRUE,0.82,0.94,0.83,0.69,,,,
deepseek_ia_strict_20260603T045425Z,5fb6e243-fc6c-4c9b-82a1-9f47a74f5ab0,1,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:30.750614+00:00,IA_individual_questionnaire_only_S0001_nback,29cc11191f10,individual_prediction,,,,,,,,,nback,n-back working-memory task,2,2,1469,311,1780,TRUE,0.78,0.91,0.79,0.64,,,,
deepseek_ia_strict_20260603T045425Z,5fb6e243-fc6c-4c9b-82a1-9f47a74f5ab0,1,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:30.750614+00:00,IA_individual_questionnaire_only_S0001_nback,29cc11191f10,individual_prediction,,,,,,,,,nback,n-back working-memory task,3,3,1469,311,1780,TRUE,0.85,0.96,0.86,0.73,,,,
deepseek_ia_strict_20260603T045425Z,5fb6e243-fc6c-4c9b-82a1-9f47a74f5ab0,1,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:30.750614+00:00,IA_individual_questionnaire_only_S0001_nback,29cc11191f10,individual_prediction,,,,,,,,,nback,n-back working-memory task,4,4,1469,311,1780,TRUE,0.81,0.93,0.82,0.68,,,,
deepseek_ia_strict_20260603T045425Z,5fb6e243-fc6c-4c9b-82a1-9f47a74f5ab0,1,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:30.750614+00:00,IA_individual_questionnaire_only_S0001_nback,29cc11191f10,individual_prediction,,,,,,,,,nback,n-back working-memory task,5,5,1469,311,1780,TRUE,0.79,0.92,0.8,0.65,,,,
deepseek_ia_strict_20260603T045425Z,e779f413-f1eb-4ff6-8f00-5b22c53a1f72,2,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:38.403404+00:00,IA_individual_questionnaire_only_S0001_bart,2f3a01513cb8,individual_prediction,,,,,,,,,bart,Balloon Analogue Risk Task,1,1,1463,316,1779,TRUE,,,,,32.7,12,28.5,0.42
deepseek_ia_strict_20260603T045425Z,e779f413-f1eb-4ff6-8f00-5b22c53a1f72,2,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:38.403404+00:00,IA_individual_questionnaire_only_S0001_bart,2f3a01513cb8,individual_prediction,,,,,,,,,bart,Balloon Analogue Risk Task,2,2,1463,316,1779,TRUE,,,,,45.3,8,22.1,0.31
deepseek_ia_strict_20260603T045425Z,e779f413-f1eb-4ff6-8f00-5b22c53a1f72,2,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:38.403404+00:00,IA_individual_questionnaire_only_S0001_bart,2f3a01513cb8,individual_prediction,,,,,,,,,bart,Balloon Analogue Risk Task,3,3,1463,316,1779,TRUE,,,,,28.9,15,35.8,0.57
deepseek_ia_strict_20260603T045425Z,e779f413-f1eb-4ff6-8f00-5b22c53a1f72,2,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:38.403404+00:00,IA_individual_questionnaire_only_S0001_bart,2f3a01513cb8,individual_prediction,,,,,,,,,bart,Balloon Analogue Risk Task,4,4,1463,316,1779,TRUE,,,,,50.1,6,19.2,0.24
deepseek_ia_strict_20260603T045425Z,e779f413-f1eb-4ff6-8f00-5b22c53a1f72,2,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:38.403404+00:00,IA_individual_questionnaire_only_S0001_bart,2f3a01513cb8,individual_prediction,,,,,,,,,bart,Balloon Analogue Risk Task,5,5,1463,316,1779,TRUE,,,,,36.4,11,31.7,0.48
deepseek_ia_strict_20260603T045425Z,e1dbc779-328f-4cbd-b031-2d16ca802acf,3,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:44.000884+00:00,IA_individual_questionnaire_only_S0002_nback,710b39a311d6,individual_prediction,,,,,,,,,nback,n-back working-memory task,1,1,1469,311,1780,TRUE,0.87,0.92,0.83,0.75,,,,
deepseek_ia_strict_20260603T045425Z,e1dbc779-328f-4cbd-b031-2d16ca802acf,3,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:44.000884+00:00,IA_individual_questionnaire_only_S0002_nback,710b39a311d6,individual_prediction,,,,,,,,,nback,n-back working-memory task,2,2,1469,311,1780,TRUE,0.84,0.91,0.81,0.72,,,,
deepseek_ia_strict_20260603T045425Z,e1dbc779-328f-4cbd-b031-2d16ca802acf,3,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:44.000884+00:00,IA_individual_questionnaire_only_S0002_nback,710b39a311d6,individual_prediction,,,,,,,,,nback,n-back working-memory task,3,3,1469,311,1780,TRUE,0.89,0.94,0.86,0.78,,,,
deepseek_ia_strict_20260603T045425Z,e1dbc779-328f-4cbd-b031-2d16ca802acf,3,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:44.000884+00:00,IA_individual_questionnaire_only_S0002_nback,710b39a311d6,individual_prediction,,,,,,,,,nback,n-back working-memory task,4,4,1469,311,1780,TRUE,0.82,0.89,0.79,0.7,,,,
deepseek_ia_strict_20260603T045425Z,e1dbc779-328f-4cbd-b031-2d16ca802acf,3,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:44.000884+00:00,IA_individual_questionnaire_only_S0002_nback,710b39a311d6,individual_prediction,,,,,,,,,nback,n-back working-memory task,5,5,1469,311,1780,TRUE,0.86,0.93,0.84,0.76,,,,
deepseek_ia_strict_20260603T045425Z,49b959e4-9b5d-4c14-a0b7-8f7b213fcad3,4,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:50.202615+00:00,IA_individual_questionnaire_only_S0002_bart,f3838527f4f6,individual_prediction,,,,,,,,,bart,Balloon Analogue Risk Task,1,1,1463,315,1778,TRUE,,,,,32.7,8,28.5,0.62
deepseek_ia_strict_20260603T045425Z,49b959e4-9b5d-4c14-a0b7-8f7b213fcad3,4,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:50.202615+00:00,IA_individual_questionnaire_only_S0002_bart,f3838527f4f6,individual_prediction,,,,,,,,,bart,Balloon Analogue Risk Task,2,2,1463,315,1778,TRUE,,,,,45.3,5,22.1,0.48
