run_id,call_id,batch_id,provider,model,temperature,timestamp_utc,prompt_id,prompt_hash,experiment_type,condition_id,condition_name,label_cue,score_cue,symptom_cue,profile_id,profile_short,ia_like_profile,task_id,task_name,repeat_id,sample_in_call,input_tokens,output_tokens,total_tokens,range_valid,overall_accuracy,accuracy_1back,accuracy_2back,accuracy_3back,,,,,
deepseek_ia_strict_20260603T045406Z,68fca26d-370a-4710-88f7-145e5b9457b4,1,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:12.315919+00:00,IA_main_MAIN_full_profile_P1_low_PDU_low_ATT_nback,e22031427502,main,MAIN_full_profile,main full-profile,1,1,1,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,nback,n-back working-memory task,1,1,1506,310,1816,TRUE,0.88,0.92,0.85,0.77,,,,,
deepseek_ia_strict_20260603T045406Z,68fca26d-370a-4710-88f7-145e5b9457b4,1,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:12.315919+00:00,IA_main_MAIN_full_profile_P1_low_PDU_low_ATT_nback,e22031427502,main,MAIN_full_profile,main full-profile,1,1,1,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,nback,n-back working-memory task,2,2,1506,310,1816,TRUE,0.91,0.94,0.89,0.8,,,,,
deepseek_ia_strict_20260603T045406Z,68fca26d-370a-4710-88f7-145e5b9457b4,1,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:12.315919+00:00,IA_main_MAIN_full_profile_P1_low_PDU_low_ATT_nback,e22031427502,main,MAIN_full_profile,main full-profile,1,1,1,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,nback,n-back working-memory task,3,3,1506,310,1816,TRUE,0.86,0.9,0.84,0.75,,,,,
deepseek_ia_strict_20260603T045406Z,68fca26d-370a-4710-88f7-145e5b9457b4,1,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:12.315919+00:00,IA_main_MAIN_full_profile_P1_low_PDU_low_ATT_nback,e22031427502,main,MAIN_full_profile,main full-profile,1,1,1,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,nback,n-back working-memory task,4,4,1506,310,1816,TRUE,0.89,0.93,0.87,0.79,,,,,
deepseek_ia_strict_20260603T045406Z,68fca26d-370a-4710-88f7-145e5b9457b4,1,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:12.315919+00:00,IA_main_MAIN_full_profile_P1_low_PDU_low_ATT_nback,e22031427502,main,MAIN_full_profile,main full-profile,1,1,1,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,nback,n-back working-memory task,5,5,1506,310,1816,TRUE,0.87,0.91,0.86,0.76,,,,,
deepseek_ia_strict_20260603T045406Z,4107a729-4530-46a9-a2d2-afc8e4a9899c,2,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:17.983839+00:00,IA_main_MAIN_full_profile_P1_low_PDU_low_ATT_nback,e22031427502,main,MAIN_full_profile,main full-profile,1,1,1,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,nback,n-back working-memory task,6,1,1506,310,1816,TRUE,0.87,0.95,0.86,0.78,,,,,
deepseek_ia_strict_20260603T045406Z,4107a729-4530-46a9-a2d2-afc8e4a9899c,2,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:17.983839+00:00,IA_main_MAIN_full_profile_P1_low_PDU_low_ATT_nback,e22031427502,main,MAIN_full_profile,main full-profile,1,1,1,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,nback,n-back working-memory task,7,2,1506,310,1816,TRUE,0.89,0.96,0.88,0.81,,,,,
deepseek_ia_strict_20260603T045406Z,4107a729-4530-46a9-a2d2-afc8e4a9899c,2,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:17.983839+00:00,IA_main_MAIN_full_profile_P1_low_PDU_low_ATT_nback,e22031427502,main,MAIN_full_profile,main full-profile,1,1,1,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,nback,n-back working-memory task,8,3,1506,310,1816,TRUE,0.85,0.94,0.85,0.76,,,,,
deepseek_ia_strict_20260603T045406Z,4107a729-4530-46a9-a2d2-afc8e4a9899c,2,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:17.983839+00:00,IA_main_MAIN_full_profile_P1_low_PDU_low_ATT_nback,e22031427502,main,MAIN_full_profile,main full-profile,1,1,1,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,nback,n-back working-memory task,9,4,1506,310,1816,TRUE,0.88,0.95,0.87,0.79,,,,,
deepseek_ia_strict_20260603T045406Z,4107a729-4530-46a9-a2d2-afc8e4a9899c,2,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:17.983839+00:00,IA_main_MAIN_full_profile_P1_low_PDU_low_ATT_nback,e22031427502,main,MAIN_full_profile,main full-profile,1,1,1,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,nback,n-back working-memory task,10,5,1506,310,1816,TRUE,0.86,0.93,0.84,0.77,,,,,
deepseek_ia_strict_20260603T045406Z,e50f4f8f-8dec-4ea5-8c1a-6e9afd90150e,3,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:24.968963+00:00,IA_main_MAIN_full_profile_P1_low_PDU_low_ATT_nback,e22031427502,main,MAIN_full_profile,main full-profile,1,1,1,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,nback,n-back working-memory task,11,1,1506,310,1816,TRUE,0.91,0.95,0.88,0.76,,,,,
