run_id,call_id,batch_id,provider,model,temperature,prompt_id,repeat_id,sample_in_call,timestamp_utc,experiment_type,condition_id,condition_name,label_cue,score_cue,symptom_cue,profile_id,profile_short,ia_like_profile,participant_uid,feature_condition,task_id,task_name,prompt_hash,input_tokens,output_tokens,accuracy,mean_rt_ms,rt_sd_ms,interference_effect_ms
IA_qwen_deepseek-v4pro_20260602T114105Z,1ce266d9-d7ef-47da-9444-a88c618d1ae0,1,qwen,deepseek-v4pro,0.3,IA_individual_questionnaire_only_S0001_stroop,1,1,2026-06-02T11:41:10.978358+00:00,individual_prediction,,,,,,,,,S0001,questionnaire_only,stroop,Stroop color-word task,0bc1095d47ac,469,271,0.87,720,95,125
IA_qwen_deepseek-v4pro_20260602T114105Z,1ce266d9-d7ef-47da-9444-a88c618d1ae0,1,qwen,deepseek-v4pro,0.3,IA_individual_questionnaire_only_S0001_stroop,2,2,2026-06-02T11:41:10.978358+00:00,individual_prediction,,,,,,,,,S0001,questionnaire_only,stroop,Stroop color-word task,0bc1095d47ac,469,271,0.89,695,88,110
IA_qwen_deepseek-v4pro_20260602T114105Z,1ce266d9-d7ef-47da-9444-a88c618d1ae0,1,qwen,deepseek-v4pro,0.3,IA_individual_questionnaire_only_S0001_stroop,3,3,2026-06-02T11:41:10.978358+00:00,individual_prediction,,,,,,,,,S0001,questionnaire_only,stroop,Stroop color-word task,0bc1095d47ac,469,271,0.85,745,102,140
IA_qwen_deepseek-v4pro_20260602T114105Z,1ce266d9-d7ef-47da-9444-a88c618d1ae0,1,qwen,deepseek-v4pro,0.3,IA_individual_questionnaire_only_S0001_stroop,4,4,2026-06-02T11:41:10.978358+00:00,individual_prediction,,,,,,,,,S0001,questionnaire_only,stroop,Stroop color-word task,0bc1095d47ac,469,271,0.91,680,82,98
IA_qwen_deepseek-v4pro_20260602T114105Z,1ce266d9-d7ef-47da-9444-a88c618d1ae0,1,qwen,deepseek-v4pro,0.3,IA_individual_questionnaire_only_S0001_stroop,5,5,2026-06-02T11:41:10.978358+00:00,individual_prediction,,,,,,,,,S0001,questionnaire_only,stroop,Stroop color-word task,0bc1095d47ac,469,271,0.88,710,91,118
IA_qwen_deepseek-v4pro_20260602T114105Z,e5ff796c-8d84-4f3b-bd8b-3056cec2eed4,1,qwen,deepseek-v4pro,0.3,IA_individual_questionnaire_only_S0001_nback,1,1,2026-06-02T11:41:17.224330+00:00,individual_prediction,,,,,,,,,S0001,questionnaire_only,nback,n-back working-memory task,ccbc9a013fe0,488,311,0.78,0.92,0.75,0.67
IA_qwen_deepseek-v4pro_20260602T114105Z,e5ff796c-8d84-4f3b-bd8b-3056cec2eed4,1,qwen,deepseek-v4pro,0.3,IA_individual_questionnaire_only_S0001_nback,2,2,2026-06-02T11:41:17.224330+00:00,individual_prediction,,,,,,,,,S0001,questionnaire_only,nback,n-back working-memory task,ccbc9a013fe0,488,311,0.81,0.94,0.78,0.71
IA_qwen_deepseek-v4pro_20260602T114105Z,e5ff796c-8d84-4f3b-bd8b-3056cec2eed4,1,qwen,deepseek-v4pro,0.3,IA_individual_questionnaire_only_S0001_nback,3,3,2026-06-02T11:41:17.224330+00:00,individual_prediction,,,,,,,,,S0001,questionnaire_only,nback,n-back working-memory task,ccbc9a013fe0,488,311,0.76,0.91,0.73,0.64
IA_qwen_deepseek-v4pro_20260602T114105Z,e5ff796c-8d84-4f3b-bd8b-3056cec2eed4,1,qwen,deepseek-v4pro,0.3,IA_individual_questionnaire_only_S0001_nback,4,4,2026-06-02T11:41:17.225421+00:00,individual_prediction,,,,,,,,,S0001,questionnaire_only,nback,n-back working-memory task,ccbc9a013fe0,488,311,0.79,0.93,0.76,0.68
IA_qwen_deepseek-v4pro_20260602T114105Z,e5ff796c-8d84-4f3b-bd8b-3056cec2eed4,1,qwen,deepseek-v4pro,0.3,IA_individual_questionnaire_only_S0001_nback,5,5,2026-06-02T11:41:17.225421+00:00,individual_prediction,,,,,,,,,S0001,questionnaire_only,nback,n-back working-memory task,ccbc9a013fe0,488,311,0.82,0.95,0.79,0.72
