run_id,call_id,batch_id,timestamp_utc,provider,model,temperature,prompt_index,prompt_hash,prompt_id,ablation_condition,condition_name,profile_id,task_id,task_code,repeat_id,sample_in_call,success,accuracy,mean_rt_ms,interference_effect_ms,overall_accuracy,accuracy_1back,accuracy_2back,accuracy_3back,adjusted_average_pumps,total_earnings,explosion_count,discounting_k,log_discounting_k
qwen_qwen-plus_20260529T063319Z,9b66b354-7d75-4976-986a-3f5024d63af0,04474d77-56fc-4155-bcaa-a79553bc0063,2026-05-29T06:33:24.686411+00:00,qwen,qwen-plus,0.7,1,bdcd2ff85bf195b7,IP_questionnaire_only__S0001__stroop,questionnaire_only,questionnaire-only individual prediction,S0001,stroop,stroop,1,1,TRUE,0.85,620,80,,,,,,,,,
qwen_qwen-plus_20260529T063319Z,9b66b354-7d75-4976-986a-3f5024d63af0,04474d77-56fc-4155-bcaa-a79553bc0063,2026-05-29T06:33:24.686411+00:00,qwen,qwen-plus,0.7,1,bdcd2ff85bf195b7,IP_questionnaire_only__S0001__stroop,questionnaire_only,questionnaire-only individual prediction,S0001,stroop,stroop,2,2,TRUE,0.83,640,75,,,,,,,,,
qwen_qwen-plus_20260529T063319Z,9b66b354-7d75-4976-986a-3f5024d63af0,04474d77-56fc-4155-bcaa-a79553bc0063,2026-05-29T06:33:24.686411+00:00,qwen,qwen-plus,0.7,1,bdcd2ff85bf195b7,IP_questionnaire_only__S0001__stroop,questionnaire_only,questionnaire-only individual prediction,S0001,stroop,stroop,3,3,TRUE,0.87,610,85,,,,,,,,,
qwen_qwen-plus_20260529T063319Z,9b66b354-7d75-4976-986a-3f5024d63af0,04474d77-56fc-4155-bcaa-a79553bc0063,2026-05-29T06:33:24.686411+00:00,qwen,qwen-plus,0.7,1,bdcd2ff85bf195b7,IP_questionnaire_only__S0001__stroop,questionnaire_only,questionnaire-only individual prediction,S0001,stroop,stroop,4,4,TRUE,0.84,630,78,,,,,,,,,
qwen_qwen-plus_20260529T063319Z,9b66b354-7d75-4976-986a-3f5024d63af0,04474d77-56fc-4155-bcaa-a79553bc0063,2026-05-29T06:33:24.686411+00:00,qwen,qwen-plus,0.7,1,bdcd2ff85bf195b7,IP_questionnaire_only__S0001__stroop,questionnaire_only,questionnaire-only individual prediction,S0001,stroop,stroop,5,5,TRUE,0.86,615,82,,,,,,,,,
qwen_qwen-plus_20260529T063319Z,0831dde0-909c-40fd-9e4d-8e6028c42448,8d8d3871-a1cc-4fa7-8e33-c172384c3790,2026-05-29T06:33:32.324975+00:00,qwen,qwen-plus,0.7,2,ae166c1eb6ee5f97,IP_questionnaire_only__S0001__nback,questionnaire_only,questionnaire-only individual prediction,S0001,nback,nback,1,1,TRUE,,,,0.75,0.85,0.7,0.65,,,,,
qwen_qwen-plus_20260529T063319Z,0831dde0-909c-40fd-9e4d-8e6028c42448,8d8d3871-a1cc-4fa7-8e33-c172384c3790,2026-05-29T06:33:32.324975+00:00,qwen,qwen-plus,0.7,2,ae166c1eb6ee5f97,IP_questionnaire_only__S0001__nback,questionnaire_only,questionnaire-only individual prediction,S0001,nback,nback,2,2,TRUE,,,,0.7,0.8,0.65,0.6,,,,,
qwen_qwen-plus_20260529T063319Z,0831dde0-909c-40fd-9e4d-8e6028c42448,8d8d3871-a1cc-4fa7-8e33-c172384c3790,2026-05-29T06:33:32.324975+00:00,qwen,qwen-plus,0.7,2,ae166c1eb6ee5f97,IP_questionnaire_only__S0001__nback,questionnaire_only,questionnaire-only individual prediction,S0001,nback,nback,3,3,TRUE,,,,0.78,0.88,0.73,0.68,,,,,
qwen_qwen-plus_20260529T063319Z,0831dde0-909c-40fd-9e4d-8e6028c42448,8d8d3871-a1cc-4fa7-8e33-c172384c3790,2026-05-29T06:33:32.324975+00:00,qwen,qwen-plus,0.7,2,ae166c1eb6ee5f97,IP_questionnaire_only__S0001__nback,questionnaire_only,questionnaire-only individual prediction,S0001,nback,nback,4,4,TRUE,,,,0.72,0.82,0.67,0.62,,,,,
qwen_qwen-plus_20260529T063319Z,0831dde0-909c-40fd-9e4d-8e6028c42448,8d8d3871-a1cc-4fa7-8e33-c172384c3790,2026-05-29T06:33:32.324975+00:00,qwen,qwen-plus,0.7,2,ae166c1eb6ee5f97,IP_questionnaire_only__S0001__nback,questionnaire_only,questionnaire-only individual prediction,S0001,nback,nback,5,5,TRUE,,,,0.77,0.87,0.72,0.67,,,,,
