run_id,call_id,batch_id,provider,model,temperature,prompt_id,repeat_id,sample_in_call,timestamp_utc,experiment_type,condition_id,condition_name,label_cue,score_cue,symptom_cue,profile_id,profile_short,ia_like_profile,participant_uid,feature_condition,task_id,task_name,prompt_hash,input_tokens,output_tokens,accuracy,mean_rt_ms,rt_sd_ms,interference_effect_ms,
IA_qwen_deepseek-v4pro_20260602T015156Z,0a992929-e762-43b9-a1d3-0614fee70f50,1,qwen,deepseek-v4pro,0.7,IA_ablation_A_label_only_P1_low_PDU_low_ATT_stroop,1,1,2026-06-02T01:52:02.635396+00:00,ablation,A_label_only,label-only,1,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,,,stroop,Stroop color-word task,0f782301bfd5,404,258,167,475,120,85,
IA_qwen_deepseek-v4pro_20260602T015156Z,0a992929-e762-43b9-a1d3-0614fee70f50,1,qwen,deepseek-v4pro,0.7,IA_ablation_A_label_only_P1_low_PDU_low_ATT_stroop,2,2,2026-06-02T01:52:02.635396+00:00,ablation,A_label_only,label-only,1,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,,,stroop,Stroop color-word task,0f782301bfd5,404,258,172,462,115,78,
IA_qwen_deepseek-v4pro_20260602T015156Z,0a992929-e762-43b9-a1d3-0614fee70f50,1,qwen,deepseek-v4pro,0.7,IA_ablation_A_label_only_P1_low_PDU_low_ATT_stroop,3,3,2026-06-02T01:52:02.635396+00:00,ablation,A_label_only,label-only,1,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,,,stroop,Stroop color-word task,0f782301bfd5,404,258,170,68,125,92,
IA_qwen_deepseek-v4pro_20260602T015156Z,0a992929-e762-43b9-a1d3-0614fee70f50,1,qwen,deepseek-v4pro,0.7,IA_ablation_A_label_only_P1_low_PDU_low_ATT_stroop,4,4,2026-06-02T01:52:02.635396+00:00,ablation,A_label_only,label-only,1,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,,,stroop,Stroop color-word task,0f782301bfd5,404,258,165,490,130,88,
IA_qwen_deepseek-v4pro_20260602T015156Z,0a992929-e762-43b9-a1d3-0614fee70f50,1,qwen,deepseek-v4pro,0.7,IA_ablation_A_label_only_P1_low_PDU_low_ATT_stroop,5,5,2026-06-02T01:52:02.635396+00:00,ablation,A_label_only,label-only,1,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,,,stroop,Stroop color-word task,0f782301bfd5,404,258,169,480,118,81,
IA_qwen_deepseek-v4pro_20260602T015156Z,3c4b1e62-ffde-4ed7-8950-9f653ce0c50e,2,qwen,deepseek-v4pro,0.7,IA_ablation_A_label_only_P1_low_PDU_low_ATT_stroop,6,1,2026-06-02T01:52:09.839981+00:00,ablation,A_label_only,label-only,1,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,,,stroop,Stroop color-word task,0f782301bfd5,404,299,-0.64,756.48,143.21,78.65,
IA_qwen_deepseek-v4pro_20260602T015156Z,3c4b1e62-ffde-4ed7-8950-9f653ce0c50e,2,qwen,deepseek-v4pro,0.7,IA_ablation_A_label_only_P1_low_PDU_low_ATT_stroop,7,2,2026-06-02T01:52:09.841449+00:00,ablation,A_label_only,label-only,1,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,,,stroop,Stroop color-word task,0f782301bfd5,404,299,-0.72,172.93,88.47,65.11,
IA_qwen_deepseek-v4pro_20260602T015156Z,3c4b1e62-ffde-4ed7-8950-9f653ce0c50e,2,qwen,deepseek-v4pro,0.7,IA_ablation_A_label_only_P1_low_PDU_low_ATT_stroop,8,3,2026-06-02T01:52:09.841449+00:00,ablation,A_label_only,label-only,1,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,,,stroop,Stroop color-word task,0f782301bfd5,404,299,-0.59,639.22,109.85,72.08,
IA_qwen_deepseek-v4pro_20260602T015156Z,3c4b1e62-ffde-4ed7-8950-9f653ce0c50e,2,qwen,deepseek-v4pro,0.7,IA_ablation_A_label_only_P1_low_PDU_low_ATT_stroop,9,4,2026-06-02T01:52:09.841449+00:00,ablation,A_label_only,label-only,1,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,,,stroop,Stroop color-word task,0f782301bfd5,404,299,-0.68,821.05,125.36,81.94,
IA_qwen_deepseek-v4pro_20260602T015156Z,3c4b1e62-ffde-4ed7-8950-9f653ce0c50e,2,qwen,deepseek-v4pro,0.7,IA_ablation_A_label_only_P1_low_PDU_low_ATT_stroop,10,5,2026-06-02T01:52:09.841449+00:00,ablation,A_label_only,label-only,1,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,,,stroop,Stroop color-word task,0f782301bfd5,404,299,-0.61,704.77,96.58,69.23,
IA_qwen_deepseek-v4pro_20260602T015156Z,82587522-b1ab-4963-89b7-b71c204bedf2,3,qwen,deepseek-v4pro,0.7,IA_ablation_A_label_only_P1_low_PDU_low_ATT_stroop,11,1,2026-06-02T01:52:16.326713+00:00,ablation,A_label_only,label-only,1,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,,,stroop,Stroop color-word task,0f782301bfd5,404,269,-0.1,750,92,68,
IA_qwen_deepseek-v4pro_20260602T015156Z,82587522-b1ab-4963-89b7-b71c204bedf2,3,qwen,deepseek-v4pro,0.7,IA_ablation_A_label_only_P1_low_PDU_low_ATT_stroop,12,2,2026-06-02T01:52:16.326713+00:00,ablation,A_label_only,label-only,1,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,,,stroop,Stroop color-word task,0f782301bfd5,404,269,0.95,810,105,75,
IA_qwen_deepseek-v4pro_20260602T015156Z,82587522-b1ab-4963-89b7-b71c204bedf2,3,qwen,deepseek-v4pro,0.7,IA_ablation_A_label_only_P1_low_PDU_low_ATT_stroop,13,3,2026-06-02T01:52:16.327140+00:00,ablation,A_label_only,label-only,1,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,,,stroop,Stroop color-word task,0f782301bfd5,404,269,0.97,785,98,62,
IA_qwen_deepseek-v4pro_20260602T015156Z,82587522-b1ab-4963-89b7-b71c204bedf2,3,qwen,deepseek-v4pro,0.7,IA_ablation_A_label_only_P1_low_PDU_low_ATT_stroop,14,4,2026-06-02T01:52:16.327140+00:00,ablation,A_label_only,label-only,1,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,,,stroop,Stroop color-word task,0f782301bfd5,404,269,0.96,795,110,80,
IA_qwen_deepseek-v4pro_20260602T015156Z,82587522-b1ab-4963-89b7-b71c204bedf2,3,qwen,deepseek-v4pro,0.7,IA_ablation_A_label_only_P1_low_PDU_low_ATT_stroop,15,5,2026-06-02T01:52:16.327140+00:00,ablation,A_label_only,label-only,1,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,,,stroop,Stroop color-word task,0f782301bfd5,404,269,0.94,820,115,72,
IA_qwen_deepseek-v4pro_20260602T015156Z,50ea29d0-7fa2-4941-839f-2759d5ba67cb,4,qwen,deepseek-v4pro,0.7,IA_ablation_A_label_only_P1_low_PDU_low_ATT_stroop,16,1,2026-06-02T01:52:29.193935+00:00,ablation,A_label_only,label-only,1,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,,,stroop,Stroop color-word task,0f782301bfd5,404,269,0.95,-700,125,85,
IA_qwen_deepseek-v4pro_20260602T015156Z,50ea29d0-7fa2-4941-839f-2759d5ba67cb,4,qwen,deepseek-v4pro,0.7,IA_ablation_A_label_only_P1_low_PDU_low_ATT_stroop,17,2,2026-06-02T01:52:29.193935+00:00,ablation,A_label_only,label-only,1,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,,,stroop,Stroop color-word task,0f782301bfd5,404,269,0.96,-685,103,72,
IA_qwen_deepseek-v4pro_20260602T015156Z,50ea29d0-7fa2-4941-839f-2759d5ba67cb,4,qwen,deepseek-v4pro,0.7,IA_ablation_A_label_only_P1_low_PDU_low_ATT_stroop,18,3,2026-06-02T01:52:29.193935+00:00,ablation,A_label_only,label-only,1,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,,,stroop,Stroop color-word task,0f782301bfd5,404,269,0.94,-712,118,90,
IA_qwen_deepseek-v4pro_20260602T015156Z,50ea29d0-7fa2-4941-839f-2759d5ba67cb,4,qwen,deepseek-v4pro,0.7,IA_ablation_A_label_only_P1_low_PDU_low_ATT_stroop,19,4,2026-06-02T01:52:29.193935+00:00,ablation,A_label_only,label-only,1,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,,,stroop,Stroop color-word task,0f782301bfd5,404,269,0.955,-695,110,78,
IA_qwen_deepseek-v4pro_20260602T015156Z,50ea29d0-7fa2-4941-839f-2759d5ba67cb,4,qwen,deepseek-v4pro,0.7,IA_ablation_A_label_only_P1_low_PDU_low_ATT_stroop,20,5,2026-06-02T01:52:29.193935+00:00,ablation,A_label_only,label-only,1,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,,,stroop,Stroop color-word task,0f782301bfd5,404,269,0.945,-705,115,82,
IA_qwen_deepseek-v4pro_20260602T015156Z,69ae77e3-fc1a-4a4a-b791-ad3a91d6118c,1,qwen,deepseek-v4pro,0.7,IA_ablation_A_label_only_P1_low_PDU_low_ATT_nback,1,1,2026-06-02T01:52:36.565225+00:00,ablation,A_label_only,label-only,1,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,,,nback,n-back working-memory task,3249df73d521,423,310,0.91,0.97,0.93,0.83,
IA_qwen_deepseek-v4pro_20260602T015156Z,69ae77e3-fc1a-4a4a-b791-ad3a91d6118c,1,qwen,deepseek-v4pro,0.7,IA_ablation_A_label_only_P1_low_PDU_low_ATT_nback,2,2,2026-06-02T01:52:36.565225+00:00,ablation,A_label_only,label-only,1,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,,,nback,n-back working-memory task,3249df73d521,423,310,0.89,0.96,0.9,0.81,
