run_id,call_id,batch_id,provider,model,temperature,prompt_id,repeat_id,sample_in_call,timestamp_utc,experiment_type,condition_id,condition_name,label_cue,score_cue,symptom_cue,profile_id,profile_short,ia_like_profile,participant_uid,feature_condition,task_id,task_name,prompt_hash,input_tokens,output_tokens,accuracy,mean_rt_ms,rt_sd_ms,interference_effect_ms,
IA_qwen_qwen-plus_20260602T015132Z,49f8978b-3779-4793-a154-3ce2ca527462,1,qwen,qwen-plus,0.7,IA_ablation_A_label_only_P1_low_PDU_low_ATT_stroop,1,1,2026-06-02T01:51:37.791425+00:00,ablation,A_label_only,label-only,1,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,,,stroop,Stroop color-word task,0f782301bfd5,394,284,0.96,680,110,45,
IA_qwen_qwen-plus_20260602T015132Z,49f8978b-3779-4793-a154-3ce2ca527462,1,qwen,qwen-plus,0.7,IA_ablation_A_label_only_P1_low_PDU_low_ATT_stroop,2,2,2026-06-02T01:51:37.791937+00:00,ablation,A_label_only,label-only,1,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,,,stroop,Stroop color-word task,0f782301bfd5,394,284,0.95,690,115,50,
IA_qwen_qwen-plus_20260602T015132Z,49f8978b-3779-4793-a154-3ce2ca527462,1,qwen,qwen-plus,0.7,IA_ablation_A_label_only_P1_low_PDU_low_ATT_stroop,3,3,2026-06-02T01:51:37.791937+00:00,ablation,A_label_only,label-only,1,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,,,stroop,Stroop color-word task,0f782301bfd5,394,284,0.97,670,105,40,
IA_qwen_qwen-plus_20260602T015132Z,49f8978b-3779-4793-a154-3ce2ca527462,1,qwen,qwen-plus,0.7,IA_ablation_A_label_only_P1_low_PDU_low_ATT_stroop,4,4,2026-06-02T01:51:37.791937+00:00,ablation,A_label_only,label-only,1,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,,,stroop,Stroop color-word task,0f782301bfd5,394,284,0.94,700,120,55,
IA_qwen_qwen-plus_20260602T015132Z,49f8978b-3779-4793-a154-3ce2ca527462,1,qwen,qwen-plus,0.7,IA_ablation_A_label_only_P1_low_PDU_low_ATT_stroop,5,5,2026-06-02T01:51:37.791937+00:00,ablation,A_label_only,label-only,1,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,,,stroop,Stroop color-word task,0f782301bfd5,394,284,0.96,675,108,47,
IA_qwen_qwen-plus_20260602T015132Z,513e501d-c1fb-4e7e-834b-ed5cf5a0e6d1,2,qwen,qwen-plus,0.7,IA_ablation_A_label_only_P1_low_PDU_low_ATT_stroop,6,1,2026-06-02T01:51:43.023447+00:00,ablation,A_label_only,label-only,1,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,,,stroop,Stroop color-word task,0f782301bfd5,394,284,0.96,680,120,45,
IA_qwen_qwen-plus_20260602T015132Z,513e501d-c1fb-4e7e-834b-ed5cf5a0e6d1,2,qwen,qwen-plus,0.7,IA_ablation_A_label_only_P1_low_PDU_low_ATT_stroop,7,2,2026-06-02T01:51:43.023447+00:00,ablation,A_label_only,label-only,1,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,,,stroop,Stroop color-word task,0f782301bfd5,394,284,0.95,700,130,50,
IA_qwen_qwen-plus_20260602T015132Z,513e501d-c1fb-4e7e-834b-ed5cf5a0e6d1,2,qwen,qwen-plus,0.7,IA_ablation_A_label_only_P1_low_PDU_low_ATT_stroop,8,3,2026-06-02T01:51:43.024446+00:00,ablation,A_label_only,label-only,1,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,,,stroop,Stroop color-word task,0f782301bfd5,394,284,0.97,670,110,40,
IA_qwen_qwen-plus_20260602T015132Z,513e501d-c1fb-4e7e-834b-ed5cf5a0e6d1,2,qwen,qwen-plus,0.7,IA_ablation_A_label_only_P1_low_PDU_low_ATT_stroop,9,4,2026-06-02T01:51:43.024446+00:00,ablation,A_label_only,label-only,1,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,,,stroop,Stroop color-word task,0f782301bfd5,394,284,0.94,710,140,55,
IA_qwen_qwen-plus_20260602T015132Z,513e501d-c1fb-4e7e-834b-ed5cf5a0e6d1,2,qwen,qwen-plus,0.7,IA_ablation_A_label_only_P1_low_PDU_low_ATT_stroop,10,5,2026-06-02T01:51:43.024446+00:00,ablation,A_label_only,label-only,1,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,,,stroop,Stroop color-word task,0f782301bfd5,394,284,0.96,690,125,48,
