run_id,call_id,model,temperature,profile_id,task_id,repeat_id,prompt_index,prompt_hash,timestamp_utc,ok,parse_success,validation_success,parsed_output,validation_errors,response_text,usage,elapsed_seconds,error
qwen_20260530T053203Z,9c8787ea-b3e6-4528-b553-381f3326911f,deepseek-v4-pro,0.7,P2_high_inattention,questionnaire,1,10,cc4caf5b9c32,2026-05-30T05:32:41.512004+00:00,TRUE,TRUE,FALSE,"{'caars_total': 0, 'cias_total': 0, 'young_total': 0, 'dsm_total1': 0, 'dsm_total2': 0}",['cias_total: 0 is less than the minimum of 26'],,"{'input_tokens': 849, 'output_tokens': 101}",3.490400553,
qwen_20260530T053203Z,0d2d30e6-fdec-4dbd-8d07-ae087854d2dd,deepseek-v4-pro,0.7,P2_high_inattention,questionnaire,3,10,cc4caf5b9c32,2026-05-30T05:36:18.084627+00:00,TRUE,TRUE,FALSE,"{'caars_total': 0, 'cias_total': 0, 'young_total': 0, 'dsm_total1': 0, 'dsm_total2': 0}",['cias_total: 0 is less than the minimum of 26'],,"{'input_tokens': 849, 'output_tokens': 101}",3.52747345,
qwen_20260530T053203Z,cc7c671c-9b06-4ed7-b43c-428e32a20a20,deepseek-v4-pro,0.7,P2_high_inattention,questionnaire,4,10,cc4caf5b9c32,2026-05-30T05:38:08.833303+00:00,TRUE,TRUE,FALSE,"{'caars_total': 0, 'cias_total': 0, 'young_total': 0, 'dsm_total1': 0, 'dsm_total2': 0}",['cias_total: 0 is less than the minimum of 26'],,"{'input_tokens': 849, 'output_tokens': 101}",3.735915184,
qwen_20260530T053203Z,a6d2afe1-e959-4fb0-a9ab-41a1ff6be955,deepseek-v4-pro,0.7,P2_high_inattention,stroop,45,6,962e434cdd22,2026-05-30T07:01:34.671175+00:00,FALSE,FALSE,FALSE,,,,,0.113436222,"PermissionDeniedError: Error code: 403 - {'error': {'message': 'The free tier of the model has been exhausted. If you wish to continue access the model on a paid basis, please disable the ""use free tier only"" mode in the management console.', 'type': 'AllocationQuota.FreeTierOnly', 'param': None, 'code': 'AllocationQuota.FreeTierOnly'}, 'id': 'chatcmpl-272c9325-d877-9970-ae1f-522fc74574f3', 'request_id': '272c9325-d877-9970-ae1f-522fc74574f3'}"
qwen_20260530T053203Z,d73ebe97-1622-485b-b2a7-57ebf41faa8e,deepseek-v4-pro,0.7,P2_high_inattention,nback,45,7,568ca4db91f7,2026-05-30T07:01:34.985783+00:00,FALSE,FALSE,FALSE,,,,,0.10554719,"PermissionDeniedError: Error code: 403 - {'error': {'message': 'The free tier of the model has been exhausted. If you wish to continue access the model on a paid basis, please disable the ""use free tier only"" mode in the management console.', 'type': 'AllocationQuota.FreeTierOnly', 'param': None, 'code': 'AllocationQuota.FreeTierOnly'}, 'id': 'chatcmpl-645fe418-1f27-92f5-8776-a3976e4a032f', 'request_id': '645fe418-1f27-92f5-8776-a3976e4a032f'}"
qwen_20260530T053203Z,6691d427-d3e0-47c1-9227-8c4a47e2e13a,deepseek-v4-pro,0.7,P2_high_inattention,bart,45,8,7e57a921aac3,2026-05-30T07:01:35.293242+00:00,FALSE,FALSE,FALSE,,,,,0.107997656,"PermissionDeniedError: Error code: 403 - {'error': {'message': 'The free tier of the model has been exhausted. If you wish to continue access the model on a paid basis, please disable the ""use free tier only"" mode in the management console.', 'type': 'AllocationQuota.FreeTierOnly', 'param': None, 'code': 'AllocationQuota.FreeTierOnly'}, 'id': 'chatcmpl-6992a660-0648-9af2-a765-75a1a051c99f', 'request_id': '6992a660-0648-9af2-a765-75a1a051c99f'}"
qwen_20260530T053203Z,85b8c3b8-11e4-4d38-82bf-4e15d88b92ae,deepseek-v4-pro,0.7,P2_high_inattention,ddt,45,9,e8ba53856771,2026-05-30T07:01:35.603701+00:00,FALSE,FALSE,FALSE,,,,,0.096784592,"PermissionDeniedError: Error code: 403 - {'error': {'message': 'The free tier of the model has been exhausted. If you wish to continue access the model on a paid basis, please disable the ""use free tier only"" mode in the management console.', 'type': 'AllocationQuota.FreeTierOnly', 'param': None, 'code': 'AllocationQuota.FreeTierOnly'}, 'id': 'chatcmpl-28503ac9-0959-97f0-8c8a-7a43bc3b1c58', 'request_id': '28503ac9-0959-97f0-8c8a-7a43bc3b1c58'}"
qwen_20260530T053203Z,5047ca68-fcb3-4260-90c3-fe286096bab7,deepseek-v4-pro,0.7,P2_high_inattention,questionnaire,45,10,cc4caf5b9c32,2026-05-30T07:01:35.901857+00:00,FALSE,FALSE,FALSE,,,,,0.103159189,"PermissionDeniedError: Error code: 403 - {'error': {'message': 'The free tier of the model has been exhausted. If you wish to continue access the model on a paid basis, please disable the ""use free tier only"" mode in the management console.', 'type': 'AllocationQuota.FreeTierOnly', 'param': None, 'code': 'AllocationQuota.FreeTierOnly'}, 'id': 'chatcmpl-a0df77f8-096a-9030-8df1-089a5abb2a8f', 'request_id': 'a0df77f8-096a-9030-8df1-089a5abb2a8f'}"
qwen_20260530T053203Z,5cae2947-8c69-4d6a-a9fc-687f70c62046,deepseek-v4-pro,0.7,P3_combined_ADHD,stroop,45,11,27771d10357c,2026-05-30T07:01:36.206911+00:00,FALSE,FALSE,FALSE,,,,,0.105898619,"PermissionDeniedError: Error code: 403 - {'error': {'message': 'The free tier of the model has been exhausted. If you wish to continue access the model on a paid basis, please disable the ""use free tier only"" mode in the management console.', 'type': 'AllocationQuota.FreeTierOnly', 'param': None, 'code': 'AllocationQuota.FreeTierOnly'}, 'id': 'chatcmpl-12b900fc-09c5-96af-b7d4-7c9ea59e21de', 'request_id': '12b900fc-09c5-96af-b7d4-7c9ea59e21de'}"
qwen_20260530T053203Z,0696c6b1-c7e5-49fe-af52-a696e5aab454,deepseek-v4-pro,0.7,P3_combined_ADHD,nback,45,12,1a799f2c3599,2026-05-30T07:01:36.515144+00:00,FALSE,FALSE,FALSE,,,,,0.159451246,"PermissionDeniedError: Error code: 403 - {'error': {'message': 'The free tier of the model has been exhausted. If you wish to continue access the model on a paid basis, please disable the ""use free tier only"" mode in the management console.', 'type': 'AllocationQuota.FreeTierOnly', 'param': None, 'code': 'AllocationQuota.FreeTierOnly'}, 'id': 'chatcmpl-1a68291e-0fea-9dca-a4cd-3a8566623e12', 'request_id': '1a68291e-0fea-9dca-a4cd-3a8566623e12'}"
qwen_20260530T053203Z,d7d98ee5-1e04-4502-a762-57e11c1c1b21,deepseek-v4-pro,0.7,P3_combined_ADHD,bart,45,13,4bfd378a6d0e,2026-05-30T07:01:36.876167+00:00,FALSE,FALSE,FALSE,,,,,0.152197123,"PermissionDeniedError: Error code: 403 - {'error': {'message': 'The free tier of the model has been exhausted. If you wish to continue access the model on a paid basis, please disable the ""use free tier only"" mode in the management console.', 'type': 'AllocationQuota.FreeTierOnly', 'param': None, 'code': 'AllocationQuota.FreeTierOnly'}, 'id': 'chatcmpl-64b60492-4769-99d3-a54c-b6ab198a703a', 'request_id': '64b60492-4769-99d3-a54c-b6ab198a703a'}"
qwen_20260530T053203Z,adda1074-c51c-4f5a-99e0-a7ba140a92ee,deepseek-v4-pro,0.7,P3_combined_ADHD,ddt,45,14,b33dd30b8d1a,2026-05-30T07:01:37.230953+00:00,FALSE,FALSE,FALSE,,,,,0.105431795,"PermissionDeniedError: Error code: 403 - {'error': {'message': 'The free tier of the model has been exhausted. If you wish to continue access the model on a paid basis, please disable the ""use free tier only"" mode in the management console.', 'type': 'AllocationQuota.FreeTierOnly', 'param': None, 'code': 'AllocationQuota.FreeTierOnly'}, 'id': 'chatcmpl-24a775e0-2bfb-935e-adb1-53bd2cd6b341', 'request_id': '24a775e0-2bfb-935e-adb1-53bd2cd6b341'}"
qwen_20260530T053203Z,d6864df3-dad4-4bde-ac6a-4a5abcab10d2,deepseek-v4-pro,0.7,P3_combined_ADHD,questionnaire,45,15,228f8e2c9b1d,2026-05-30T07:01:37.539100+00:00,FALSE,FALSE,FALSE,,,,,0.206689835,"PermissionDeniedError: Error code: 403 - {'error': {'message': 'The free tier of the model has been exhausted. If you wish to continue access the model on a paid basis, please disable the ""use free tier only"" mode in the management console.', 'type': 'AllocationQuota.FreeTierOnly', 'param': None, 'code': 'AllocationQuota.FreeTierOnly'}, 'id': 'chatcmpl-46f2c0cc-36ef-9061-a3be-fb2f5ba1b861', 'request_id': '46f2c0cc-36ef-9061-a3be-fb2f5ba1b861'}"
qwen_20260530T053203Z,bcbfff57-e056-4926-b889-7f01e351a701,deepseek-v4-pro,0.7,P4_ADHD_high_IA,stroop,45,16,86ad25735c85,2026-05-30T07:01:37.948539+00:00,FALSE,FALSE,FALSE,,,,,0.208832264,"PermissionDeniedError: Error code: 403 - {'error': {'message': 'The free tier of the model has been exhausted. If you wish to continue access the model on a paid basis, please disable the ""use free tier only"" mode in the management console.', 'type': 'AllocationQuota.FreeTierOnly', 'param': None, 'code': 'AllocationQuota.FreeTierOnly'}, 'id': 'chatcmpl-6b7e1a9e-119c-9bc1-bfa1-95d17e1de2f7', 'request_id': '6b7e1a9e-119c-9bc1-bfa1-95d17e1de2f7'}"
qwen_20260530T053203Z,d77c3fc3-0778-46c8-abe3-56db60b89677,deepseek-v4-pro,0.7,P4_ADHD_high_IA,nback,45,17,e084d00754e7,2026-05-30T07:01:38.362438+00:00,FALSE,FALSE,FALSE,,,,,0.100712538,"PermissionDeniedError: Error code: 403 - {'error': {'message': 'The free tier of the model has been exhausted. If you wish to continue access the model on a paid basis, please disable the ""use free tier only"" mode in the management console.', 'type': 'AllocationQuota.FreeTierOnly', 'param': None, 'code': 'AllocationQuota.FreeTierOnly'}, 'id': 'chatcmpl-6298e6cc-5cd3-94bd-8235-48358b6e7804', 'request_id': '6298e6cc-5cd3-94bd-8235-48358b6e7804'}"
qwen_20260530T053203Z,b9aa5426-7661-4713-b4b6-1974ef60cd03,deepseek-v4-pro,0.7,P4_ADHD_high_IA,bart,45,18,3ad0ac5f81d4,2026-05-30T07:01:38.683551+00:00,FALSE,FALSE,FALSE,,,,,0.291466236,"PermissionDeniedError: Error code: 403 - {'error': {'message': 'The free tier of the model has been exhausted. If you wish to continue access the model on a paid basis, please disable the ""use free tier only"" mode in the management console.', 'type': 'AllocationQuota.FreeTierOnly', 'param': None, 'code': 'AllocationQuota.FreeTierOnly'}, 'id': 'chatcmpl-a555453b-9e3b-956f-a0cf-65ff10218753', 'request_id': 'a555453b-9e3b-956f-a0cf-65ff10218753'}"
qwen_20260530T053203Z,7e359c3e-3c1d-4004-ad9b-26d04e27af72,deepseek-v4-pro,0.7,P4_ADHD_high_IA,ddt,45,19,5a26b73a4099,2026-05-30T07:01:39.182538+00:00,FALSE,FALSE,FALSE,,,,,0.20140481,"PermissionDeniedError: Error code: 403 - {'error': {'message': 'The free tier of the model has been exhausted. If you wish to continue access the model on a paid basis, please disable the ""use free tier only"" mode in the management console.', 'type': 'AllocationQuota.FreeTierOnly', 'param': None, 'code': 'AllocationQuota.FreeTierOnly'}, 'id': 'chatcmpl-789c975a-3473-9a93-9704-c558255d7eaa', 'request_id': '789c975a-3473-9a93-9704-c558255d7eaa'}"
qwen_20260530T053203Z,ad512604-071a-433e-a42f-f301a3f6c0f4,deepseek-v4-pro,0.7,P4_ADHD_high_IA,questionnaire,45,20,f69d6600ccdf,2026-05-30T07:01:39.585623+00:00,FALSE,FALSE,FALSE,,,,,0.105599403,"PermissionDeniedError: Error code: 403 - {'error': {'message': 'The free tier of the model has been exhausted. If you wish to continue access the model on a paid basis, please disable the ""use free tier only"" mode in the management console.', 'type': 'AllocationQuota.FreeTierOnly', 'param': None, 'code': 'AllocationQuota.FreeTierOnly'}, 'id': 'chatcmpl-f4c05895-d425-944b-b8ce-b6a7dae770ec', 'request_id': 'f4c05895-d425-944b-b8ce-b6a7dae770ec'}"
qwen_20260530T053203Z,6bdea685-8432-4c6c-82b4-b537ce92f5c5,deepseek-v4-pro,0.7,P5_high_IA_low_ADHD,stroop,45,21,af41f22a6d91,2026-05-30T07:01:39.893054+00:00,FALSE,FALSE,FALSE,,,,,0.106185436,"PermissionDeniedError: Error code: 403 - {'error': {'message': 'The free tier of the model has been exhausted. If you wish to continue access the model on a paid basis, please disable the ""use free tier only"" mode in the management console.', 'type': 'AllocationQuota.FreeTierOnly', 'param': None, 'code': 'AllocationQuota.FreeTierOnly'}, 'id': 'chatcmpl-8f10541a-3a5b-990e-a839-122c2f2fe9f3', 'request_id': '8f10541a-3a5b-990e-a839-122c2f2fe9f3'}"
qwen_20260530T053203Z,5ac5fcea-ac8e-4eb7-93fd-e6d58a7f92dc,deepseek-v4-pro,0.7,P5_high_IA_low_ADHD,nback,45,22,5f025aa2c4b7,2026-05-30T07:01:40.202916+00:00,FALSE,FALSE,FALSE,,,,,0.104764223,"PermissionDeniedError: Error code: 403 - {'error': {'message': 'The free tier of the model has been exhausted. If you wish to continue access the model on a paid basis, please disable the ""use free tier only"" mode in the management console.', 'type': 'AllocationQuota.FreeTierOnly', 'param': None, 'code': 'AllocationQuota.FreeTierOnly'}, 'id': 'chatcmpl-c4a07f86-fe64-9de3-a691-bb9bb528b291', 'request_id': 'c4a07f86-fe64-9de3-a691-bb9bb528b291'}"
