run_id,call_id,batch_id,timestamp_utc,provider,model,temperature,prompt_index,prompt_hash,prompt_id,ablation_condition,condition_name,profile_id,task_id,task_code,repeat_id,sample_in_call,success,accuracy,mean_rt_ms,interference_effect_ms,overall_accuracy,accuracy_1back,accuracy_2back,accuracy_3back,adjusted_average_pumps,total_earnings,explosion_count,discounting_k,log_discounting_k
qwen_deepseek-v4-pro_20260529T131050Z,7fb919ac-f62d-45e4-a38d-2081599951dc,8b3ac9d8-381b-4dbd-8b79-34aada822d9a,2026-05-29T13:10:53.927835+00:00,qwen,deepseek-v4-pro,0.7,1,4e27d3b4d11b3117,IP_questionnaire_plus_cpt__S0001__stroop,questionnaire_plus_cpt,questionnaire plus CPT-label individual prediction,S0001,stroop,stroop,1,1,TRUE,0.73,780,150,,,,,,,,,
qwen_deepseek-v4-pro_20260529T131050Z,7fb919ac-f62d-45e4-a38d-2081599951dc,8b3ac9d8-381b-4dbd-8b79-34aada822d9a,2026-05-29T13:10:53.928846+00:00,qwen,deepseek-v4-pro,0.7,1,4e27d3b4d11b3117,IP_questionnaire_plus_cpt__S0001__stroop,questionnaire_plus_cpt,questionnaire plus CPT-label individual prediction,S0001,stroop,stroop,2,2,TRUE,0.68,810,165,,,,,,,,,
qwen_deepseek-v4-pro_20260529T131050Z,7fb919ac-f62d-45e4-a38d-2081599951dc,8b3ac9d8-381b-4dbd-8b79-34aada822d9a,2026-05-29T13:10:53.928846+00:00,qwen,deepseek-v4-pro,0.7,1,4e27d3b4d11b3117,IP_questionnaire_plus_cpt__S0001__stroop,questionnaire_plus_cpt,questionnaire plus CPT-label individual prediction,S0001,stroop,stroop,3,3,TRUE,0.71,795,155,,,,,,,,,
qwen_deepseek-v4-pro_20260529T131050Z,7fb919ac-f62d-45e4-a38d-2081599951dc,8b3ac9d8-381b-4dbd-8b79-34aada822d9a,2026-05-29T13:10:53.928846+00:00,qwen,deepseek-v4-pro,0.7,1,4e27d3b4d11b3117,IP_questionnaire_plus_cpt__S0001__stroop,questionnaire_plus_cpt,questionnaire plus CPT-label individual prediction,S0001,stroop,stroop,4,4,TRUE,0.75,765,140,,,,,,,,,
qwen_deepseek-v4-pro_20260529T131050Z,7fb919ac-f62d-45e4-a38d-2081599951dc,8b3ac9d8-381b-4dbd-8b79-34aada822d9a,2026-05-29T13:10:53.928846+00:00,qwen,deepseek-v4-pro,0.7,1,4e27d3b4d11b3117,IP_questionnaire_plus_cpt__S0001__stroop,questionnaire_plus_cpt,questionnaire plus CPT-label individual prediction,S0001,stroop,stroop,5,5,TRUE,0.7,800,160,,,,,,,,,
qwen_deepseek-v4-pro_20260529T131050Z,89ca15cd-52db-46a6-8590-d2528899ded2,e79d1871-c9b1-45d1-8985-34ca2a468819,2026-05-29T13:10:58.390572+00:00,qwen,deepseek-v4-pro,0.7,2,0da13293eab055d0,IP_questionnaire_plus_cpt__S0001__nback,questionnaire_plus_cpt,questionnaire plus CPT-label individual prediction,S0001,nback,nback,1,1,TRUE,,,,0.65,0.85,0.6,0.5,,,,,
qwen_deepseek-v4-pro_20260529T131050Z,89ca15cd-52db-46a6-8590-d2528899ded2,e79d1871-c9b1-45d1-8985-34ca2a468819,2026-05-29T13:10:58.390572+00:00,qwen,deepseek-v4-pro,0.7,2,0da13293eab055d0,IP_questionnaire_plus_cpt__S0001__nback,questionnaire_plus_cpt,questionnaire plus CPT-label individual prediction,S0001,nback,nback,2,2,TRUE,,,,0.63,0.82,0.58,0.49,,,,,
qwen_deepseek-v4-pro_20260529T131050Z,89ca15cd-52db-46a6-8590-d2528899ded2,e79d1871-c9b1-45d1-8985-34ca2a468819,2026-05-29T13:10:58.390572+00:00,qwen,deepseek-v4-pro,0.7,2,0da13293eab055d0,IP_questionnaire_plus_cpt__S0001__nback,questionnaire_plus_cpt,questionnaire plus CPT-label individual prediction,S0001,nback,nback,3,3,TRUE,,,,0.67,0.87,0.62,0.52,,,,,
qwen_deepseek-v4-pro_20260529T131050Z,89ca15cd-52db-46a6-8590-d2528899ded2,e79d1871-c9b1-45d1-8985-34ca2a468819,2026-05-29T13:10:58.390572+00:00,qwen,deepseek-v4-pro,0.7,2,0da13293eab055d0,IP_questionnaire_plus_cpt__S0001__nback,questionnaire_plus_cpt,questionnaire plus CPT-label individual prediction,S0001,nback,nback,4,4,TRUE,,,,0.64,0.84,0.59,0.49,,,,,
qwen_deepseek-v4-pro_20260529T131050Z,89ca15cd-52db-46a6-8590-d2528899ded2,e79d1871-c9b1-45d1-8985-34ca2a468819,2026-05-29T13:10:58.390572+00:00,qwen,deepseek-v4-pro,0.7,2,0da13293eab055d0,IP_questionnaire_plus_cpt__S0001__nback,questionnaire_plus_cpt,questionnaire plus CPT-label individual prediction,S0001,nback,nback,5,5,TRUE,,,,0.66,0.86,0.61,0.51,,,,,
qwen_deepseek-v4-pro_20260529T131050Z,984c082c-d068-41f1-8fd9-d670961572a6,b6cc2082-a0bf-44f5-a21f-4dd0d6835bd0,2026-05-29T13:11:03.049751+00:00,qwen,deepseek-v4-pro,0.7,3,fb3043846ff21c7c,IP_questionnaire_plus_cpt__S0001__bart,questionnaire_plus_cpt,questionnaire plus CPT-label individual prediction,S0001,bart,bart,1,1,TRUE,,,,,,,,28,450,4,,
qwen_deepseek-v4-pro_20260529T131050Z,984c082c-d068-41f1-8fd9-d670961572a6,b6cc2082-a0bf-44f5-a21f-4dd0d6835bd0,2026-05-29T13:11:03.049751+00:00,qwen,deepseek-v4-pro,0.7,3,fb3043846ff21c7c,IP_questionnaire_plus_cpt__S0001__bart,questionnaire_plus_cpt,questionnaire plus CPT-label individual prediction,S0001,bart,bart,2,2,TRUE,,,,,,,,32,380,5,,
qwen_deepseek-v4-pro_20260529T131050Z,984c082c-d068-41f1-8fd9-d670961572a6,b6cc2082-a0bf-44f5-a21f-4dd0d6835bd0,2026-05-29T13:11:03.049751+00:00,qwen,deepseek-v4-pro,0.7,3,fb3043846ff21c7c,IP_questionnaire_plus_cpt__S0001__bart,questionnaire_plus_cpt,questionnaire plus CPT-label individual prediction,S0001,bart,bart,3,3,TRUE,,,,,,,,25,520,3,,
qwen_deepseek-v4-pro_20260529T131050Z,984c082c-d068-41f1-8fd9-d670961572a6,b6cc2082-a0bf-44f5-a21f-4dd0d6835bd0,2026-05-29T13:11:03.049751+00:00,qwen,deepseek-v4-pro,0.7,3,fb3043846ff21c7c,IP_questionnaire_plus_cpt__S0001__bart,questionnaire_plus_cpt,questionnaire plus CPT-label individual prediction,S0001,bart,bart,4,4,TRUE,,,,,,,,30,400,6,,
qwen_deepseek-v4-pro_20260529T131050Z,984c082c-d068-41f1-8fd9-d670961572a6,b6cc2082-a0bf-44f5-a21f-4dd0d6835bd0,2026-05-29T13:11:03.049751+00:00,qwen,deepseek-v4-pro,0.7,3,fb3043846ff21c7c,IP_questionnaire_plus_cpt__S0001__bart,questionnaire_plus_cpt,questionnaire plus CPT-label individual prediction,S0001,bart,bart,5,5,TRUE,,,,,,,,27,470,4,,
qwen_deepseek-v4-pro_20260529T131050Z,647bff11-dafc-41ef-8a82-652c4ff0ff51,4f54813d-3ad5-458c-aad3-11975c1871d8,2026-05-29T13:11:06.620297+00:00,qwen,deepseek-v4-pro,0.7,4,0b1f7a8ef5811791,IP_questionnaire_plus_cpt__S0001__ddt,questionnaire_plus_cpt,questionnaire plus CPT-label individual prediction,S0001,ddt,ddt,1,1,TRUE,,,,,,,,,,,0.08,-2.5257
qwen_deepseek-v4-pro_20260529T131050Z,647bff11-dafc-41ef-8a82-652c4ff0ff51,4f54813d-3ad5-458c-aad3-11975c1871d8,2026-05-29T13:11:06.620297+00:00,qwen,deepseek-v4-pro,0.7,4,0b1f7a8ef5811791,IP_questionnaire_plus_cpt__S0001__ddt,questionnaire_plus_cpt,questionnaire plus CPT-label individual prediction,S0001,ddt,ddt,2,2,TRUE,,,,,,,,,,,0.12,-2.1203
qwen_deepseek-v4-pro_20260529T131050Z,647bff11-dafc-41ef-8a82-652c4ff0ff51,4f54813d-3ad5-458c-aad3-11975c1871d8,2026-05-29T13:11:06.620297+00:00,qwen,deepseek-v4-pro,0.7,4,0b1f7a8ef5811791,IP_questionnaire_plus_cpt__S0001__ddt,questionnaire_plus_cpt,questionnaire plus CPT-label individual prediction,S0001,ddt,ddt,3,3,TRUE,,,,,,,,,,,0.05,-2.9957
