run_id,call_id,batch_id,timestamp_utc,provider,model,temperature,prompt_id,condition_id,ablation_condition,condition_name,label_cue,score_cue,symptom_cue,profile_id,task_id,task_code,requested_samples,prompt_hash,repeat_id,sample_in_call,success,accuracy,mean_rt_ms,rt_sd_ms,interference_effect_ms
cue_qwen_deepseek-v4-pro_20260530T121346Z,247a1100-f17b-41f7-96cd-ba1bc250fd52,C000_no_cue__P1_low_ADHD_low_IA__stroop__batch_000001,2026-05-30T12:13:46.344784+00:00,qwen,deepseek-v4-pro,0.7,C000_no_cue__P1_low_ADHD_low_IA__stroop,C000_no_cue,C000_no_cue,no-cue,0,0,0,P1_low_ADHD_low_IA,stroop,T1_stroop,5,e1ca38ddd9f0058d,1,1,TRUE,0.93,610,95,78
cue_qwen_deepseek-v4-pro_20260530T121346Z,247a1100-f17b-41f7-96cd-ba1bc250fd52,C000_no_cue__P1_low_ADHD_low_IA__stroop__batch_000001,2026-05-30T12:13:46.344784+00:00,qwen,deepseek-v4-pro,0.7,C000_no_cue__P1_low_ADHD_low_IA__stroop,C000_no_cue,C000_no_cue,no-cue,0,0,0,P1_low_ADHD_low_IA,stroop,T1_stroop,5,e1ca38ddd9f0058d,2,2,TRUE,0.94,595,88,72
cue_qwen_deepseek-v4-pro_20260530T121346Z,247a1100-f17b-41f7-96cd-ba1bc250fd52,C000_no_cue__P1_low_ADHD_low_IA__stroop__batch_000001,2026-05-30T12:13:46.344784+00:00,qwen,deepseek-v4-pro,0.7,C000_no_cue__P1_low_ADHD_low_IA__stroop,C000_no_cue,C000_no_cue,no-cue,0,0,0,P1_low_ADHD_low_IA,stroop,T1_stroop,5,e1ca38ddd9f0058d,3,3,TRUE,0.92,625,102,84
cue_qwen_deepseek-v4-pro_20260530T121346Z,247a1100-f17b-41f7-96cd-ba1bc250fd52,C000_no_cue__P1_low_ADHD_low_IA__stroop__batch_000001,2026-05-30T12:13:46.344784+00:00,qwen,deepseek-v4-pro,0.7,C000_no_cue__P1_low_ADHD_low_IA__stroop,C000_no_cue,C000_no_cue,no-cue,0,0,0,P1_low_ADHD_low_IA,stroop,T1_stroop,5,e1ca38ddd9f0058d,4,4,TRUE,0.95,580,80,65
cue_qwen_deepseek-v4-pro_20260530T121346Z,247a1100-f17b-41f7-96cd-ba1bc250fd52,C000_no_cue__P1_low_ADHD_low_IA__stroop__batch_000001,2026-05-30T12:13:46.344784+00:00,qwen,deepseek-v4-pro,0.7,C000_no_cue__P1_low_ADHD_low_IA__stroop,C000_no_cue,C000_no_cue,no-cue,0,0,0,P1_low_ADHD_low_IA,stroop,T1_stroop,5,e1ca38ddd9f0058d,5,5,TRUE,0.91,640,110,90
cue_qwen_deepseek-v4-pro_20260530T121346Z,3043ab16-c002-43fa-b1a9-b5d6050a6385,C000_no_cue__P1_low_ADHD_low_IA__stroop__batch_000002,2026-05-30T12:13:52.481345+00:00,qwen,deepseek-v4-pro,0.7,C000_no_cue__P1_low_ADHD_low_IA__stroop,C000_no_cue,C000_no_cue,no-cue,0,0,0,P1_low_ADHD_low_IA,stroop,T1_stroop,5,02f350986e47b1e7,6,1,TRUE,0.96,680,105,85
cue_qwen_deepseek-v4-pro_20260530T121346Z,3043ab16-c002-43fa-b1a9-b5d6050a6385,C000_no_cue__P1_low_ADHD_low_IA__stroop__batch_000002,2026-05-30T12:13:52.481345+00:00,qwen,deepseek-v4-pro,0.7,C000_no_cue__P1_low_ADHD_low_IA__stroop,C000_no_cue,C000_no_cue,no-cue,0,0,0,P1_low_ADHD_low_IA,stroop,T1_stroop,5,02f350986e47b1e7,7,2,TRUE,0.97,670,100,80
cue_qwen_deepseek-v4-pro_20260530T121346Z,3043ab16-c002-43fa-b1a9-b5d6050a6385,C000_no_cue__P1_low_ADHD_low_IA__stroop__batch_000002,2026-05-30T12:13:52.481345+00:00,qwen,deepseek-v4-pro,0.7,C000_no_cue__P1_low_ADHD_low_IA__stroop,C000_no_cue,C000_no_cue,no-cue,0,0,0,P1_low_ADHD_low_IA,stroop,T1_stroop,5,02f350986e47b1e7,8,3,TRUE,0.95,690,110,90
cue_qwen_deepseek-v4-pro_20260530T121346Z,3043ab16-c002-43fa-b1a9-b5d6050a6385,C000_no_cue__P1_low_ADHD_low_IA__stroop__batch_000002,2026-05-30T12:13:52.481345+00:00,qwen,deepseek-v4-pro,0.7,C000_no_cue__P1_low_ADHD_low_IA__stroop,C000_no_cue,C000_no_cue,no-cue,0,0,0,P1_low_ADHD_low_IA,stroop,T1_stroop,5,02f350986e47b1e7,9,4,TRUE,0.96,675,103,83
cue_qwen_deepseek-v4-pro_20260530T121346Z,3043ab16-c002-43fa-b1a9-b5d6050a6385,C000_no_cue__P1_low_ADHD_low_IA__stroop__batch_000002,2026-05-30T12:13:52.481345+00:00,qwen,deepseek-v4-pro,0.7,C000_no_cue__P1_low_ADHD_low_IA__stroop,C000_no_cue,C000_no_cue,no-cue,0,0,0,P1_low_ADHD_low_IA,stroop,T1_stroop,5,02f350986e47b1e7,10,5,TRUE,0.97,665,98,78
cue_qwen_deepseek-v4-pro_20260530T121346Z,4b5b40b2-075a-41b2-8f7d-b41e2d5c27c2,C000_no_cue__P1_low_ADHD_low_IA__stroop__batch_000003,2026-05-30T12:14:02.670415+00:00,qwen,deepseek-v4-pro,0.7,C000_no_cue__P1_low_ADHD_low_IA__stroop,C000_no_cue,C000_no_cue,no-cue,0,0,0,P1_low_ADHD_low_IA,stroop,T1_stroop,5,6fe7eb36274c32cb,11,1,TRUE,0.93,620,98,85
cue_qwen_deepseek-v4-pro_20260530T121346Z,4b5b40b2-075a-41b2-8f7d-b41e2d5c27c2,C000_no_cue__P1_low_ADHD_low_IA__stroop__batch_000003,2026-05-30T12:14:02.670415+00:00,qwen,deepseek-v4-pro,0.7,C000_no_cue__P1_low_ADHD_low_IA__stroop,C000_no_cue,C000_no_cue,no-cue,0,0,0,P1_low_ADHD_low_IA,stroop,T1_stroop,5,6fe7eb36274c32cb,12,2,TRUE,0.94,605,95,80
cue_qwen_deepseek-v4-pro_20260530T121346Z,4b5b40b2-075a-41b2-8f7d-b41e2d5c27c2,C000_no_cue__P1_low_ADHD_low_IA__stroop__batch_000003,2026-05-30T12:14:02.670415+00:00,qwen,deepseek-v4-pro,0.7,C000_no_cue__P1_low_ADHD_low_IA__stroop,C000_no_cue,C000_no_cue,no-cue,0,0,0,P1_low_ADHD_low_IA,stroop,T1_stroop,5,6fe7eb36274c32cb,13,3,TRUE,0.92,635,102,90
cue_qwen_deepseek-v4-pro_20260530T121346Z,4b5b40b2-075a-41b2-8f7d-b41e2d5c27c2,C000_no_cue__P1_low_ADHD_low_IA__stroop__batch_000003,2026-05-30T12:14:02.670415+00:00,qwen,deepseek-v4-pro,0.7,C000_no_cue__P1_low_ADHD_low_IA__stroop,C000_no_cue,C000_no_cue,no-cue,0,0,0,P1_low_ADHD_low_IA,stroop,T1_stroop,5,6fe7eb36274c32cb,14,4,TRUE,0.95,590,92,78
cue_qwen_deepseek-v4-pro_20260530T121346Z,4b5b40b2-075a-41b2-8f7d-b41e2d5c27c2,C000_no_cue__P1_low_ADHD_low_IA__stroop__batch_000003,2026-05-30T12:14:02.670415+00:00,qwen,deepseek-v4-pro,0.7,C000_no_cue__P1_low_ADHD_low_IA__stroop,C000_no_cue,C000_no_cue,no-cue,0,0,0,P1_low_ADHD_low_IA,stroop,T1_stroop,5,6fe7eb36274c32cb,15,5,TRUE,0.91,640,105,88
cue_qwen_deepseek-v4-pro_20260530T121346Z,333a6f27-49c3-4eec-9bb8-cfa56d9b6c5d,C000_no_cue__P1_low_ADHD_low_IA__stroop__batch_000004,2026-05-30T12:14:08.859327+00:00,qwen,deepseek-v4-pro,0.7,C000_no_cue__P1_low_ADHD_low_IA__stroop,C000_no_cue,C000_no_cue,no-cue,0,0,0,P1_low_ADHD_low_IA,stroop,T1_stroop,5,658c320908e617ea,16,1,TRUE,0.96,620,105,85
cue_qwen_deepseek-v4-pro_20260530T121346Z,333a6f27-49c3-4eec-9bb8-cfa56d9b6c5d,C000_no_cue__P1_low_ADHD_low_IA__stroop__batch_000004,2026-05-30T12:14:08.859327+00:00,qwen,deepseek-v4-pro,0.7,C000_no_cue__P1_low_ADHD_low_IA__stroop,C000_no_cue,C000_no_cue,no-cue,0,0,0,P1_low_ADHD_low_IA,stroop,T1_stroop,5,658c320908e617ea,17,2,TRUE,0.97,605,98,80
cue_qwen_deepseek-v4-pro_20260530T121346Z,333a6f27-49c3-4eec-9bb8-cfa56d9b6c5d,C000_no_cue__P1_low_ADHD_low_IA__stroop__batch_000004,2026-05-30T12:14:08.859327+00:00,qwen,deepseek-v4-pro,0.7,C000_no_cue__P1_low_ADHD_low_IA__stroop,C000_no_cue,C000_no_cue,no-cue,0,0,0,P1_low_ADHD_low_IA,stroop,T1_stroop,5,658c320908e617ea,18,3,TRUE,0.95,635,110,90
cue_qwen_deepseek-v4-pro_20260530T121346Z,333a6f27-49c3-4eec-9bb8-cfa56d9b6c5d,C000_no_cue__P1_low_ADHD_low_IA__stroop__batch_000004,2026-05-30T12:14:08.859327+00:00,qwen,deepseek-v4-pro,0.7,C000_no_cue__P1_low_ADHD_low_IA__stroop,C000_no_cue,C000_no_cue,no-cue,0,0,0,P1_low_ADHD_low_IA,stroop,T1_stroop,5,658c320908e617ea,19,4,TRUE,0.96,615,102,82
cue_qwen_deepseek-v4-pro_20260530T121346Z,333a6f27-49c3-4eec-9bb8-cfa56d9b6c5d,C000_no_cue__P1_low_ADHD_low_IA__stroop__batch_000004,2026-05-30T12:14:08.859327+00:00,qwen,deepseek-v4-pro,0.7,C000_no_cue__P1_low_ADHD_low_IA__stroop,C000_no_cue,C000_no_cue,no-cue,0,0,0,P1_low_ADHD_low_IA,stroop,T1_stroop,5,658c320908e617ea,20,5,TRUE,0.97,598,95,78
cue_qwen_deepseek-v4-pro_20260530T121346Z,6f0baaf0-017b-497e-8b95-2bbe2183655f,C000_no_cue__P1_low_ADHD_low_IA__stroop__batch_000005,2026-05-30T12:14:15.455064+00:00,qwen,deepseek-v4-pro,0.7,C000_no_cue__P1_low_ADHD_low_IA__stroop,C000_no_cue,C000_no_cue,no-cue,0,0,0,P1_low_ADHD_low_IA,stroop,T1_stroop,5,0428bb77f406b6cb,21,1,TRUE,0.96,520,80,-15
cue_qwen_deepseek-v4-pro_20260530T121346Z,6f0baaf0-017b-497e-8b95-2bbe2183655f,C000_no_cue__P1_low_ADHD_low_IA__stroop__batch_000005,2026-05-30T12:14:15.455064+00:00,qwen,deepseek-v4-pro,0.7,C000_no_cue__P1_low_ADHD_low_IA__stroop,C000_no_cue,C000_no_cue,no-cue,0,0,0,P1_low_ADHD_low_IA,stroop,T1_stroop,5,0428bb77f406b6cb,22,2,TRUE,0.955,535,75,-10
