run_id,call_id,batch_id,timestamp_utc,provider,model,temperature,prompt_index,prompt_hash,prompt_id,ablation_condition,condition_name,profile_id,task_id,task_code,repeat_id,sample_in_call,success,accuracy,mean_rt_ms,interference_effect_ms,overall_accuracy,accuracy_1back,accuracy_2back,accuracy_3back,adjusted_average_pumps,total_earnings,explosion_count,discounting_k,log_discounting_k
qwen_qwen-plus_20260529T130821Z,61c16b48-2280-4a4f-922c-9c877c6bdc6b,85b0278d-1cb5-4d19-9fc8-037f71454faf,2026-05-29T13:08:26.374350+00:00,qwen,qwen-plus,0.7,1,4e27d3b4d11b3117,IP_questionnaire_plus_cpt__S0001__stroop,questionnaire_plus_cpt,questionnaire plus CPT-label individual prediction,S0001,stroop,stroop,1,1,TRUE,0.85,620,75,,,,,,,,,
qwen_qwen-plus_20260529T130821Z,61c16b48-2280-4a4f-922c-9c877c6bdc6b,85b0278d-1cb5-4d19-9fc8-037f71454faf,2026-05-29T13:08:26.374350+00:00,qwen,qwen-plus,0.7,1,4e27d3b4d11b3117,IP_questionnaire_plus_cpt__S0001__stroop,questionnaire_plus_cpt,questionnaire plus CPT-label individual prediction,S0001,stroop,stroop,2,2,TRUE,0.83,640,80,,,,,,,,,
qwen_qwen-plus_20260529T130821Z,61c16b48-2280-4a4f-922c-9c877c6bdc6b,85b0278d-1cb5-4d19-9fc8-037f71454faf,2026-05-29T13:08:26.374350+00:00,qwen,qwen-plus,0.7,1,4e27d3b4d11b3117,IP_questionnaire_plus_cpt__S0001__stroop,questionnaire_plus_cpt,questionnaire plus CPT-label individual prediction,S0001,stroop,stroop,3,3,TRUE,0.87,610,70,,,,,,,,,
qwen_qwen-plus_20260529T130821Z,61c16b48-2280-4a4f-922c-9c877c6bdc6b,85b0278d-1cb5-4d19-9fc8-037f71454faf,2026-05-29T13:08:26.374350+00:00,qwen,qwen-plus,0.7,1,4e27d3b4d11b3117,IP_questionnaire_plus_cpt__S0001__stroop,questionnaire_plus_cpt,questionnaire plus CPT-label individual prediction,S0001,stroop,stroop,4,4,TRUE,0.84,630,78,,,,,,,,,
qwen_qwen-plus_20260529T130821Z,61c16b48-2280-4a4f-922c-9c877c6bdc6b,85b0278d-1cb5-4d19-9fc8-037f71454faf,2026-05-29T13:08:26.374350+00:00,qwen,qwen-plus,0.7,1,4e27d3b4d11b3117,IP_questionnaire_plus_cpt__S0001__stroop,questionnaire_plus_cpt,questionnaire plus CPT-label individual prediction,S0001,stroop,stroop,5,5,TRUE,0.86,615,72,,,,,,,,,
qwen_qwen-plus_20260529T130821Z,6e015d82-a305-4c87-88a4-165d96ef2bf0,7aa148d5-18f6-4b57-8e02-bfb5e9638cfc,2026-05-29T13:08:35.071896+00:00,qwen,qwen-plus,0.7,2,0da13293eab055d0,IP_questionnaire_plus_cpt__S0001__nback,questionnaire_plus_cpt,questionnaire plus CPT-label individual prediction,S0001,nback,nback,1,1,TRUE,,,,0.78,0.85,0.74,0.75,,,,,
qwen_qwen-plus_20260529T130821Z,6e015d82-a305-4c87-88a4-165d96ef2bf0,7aa148d5-18f6-4b57-8e02-bfb5e9638cfc,2026-05-29T13:08:35.071896+00:00,qwen,qwen-plus,0.7,2,0da13293eab055d0,IP_questionnaire_plus_cpt__S0001__nback,questionnaire_plus_cpt,questionnaire plus CPT-label individual prediction,S0001,nback,nback,2,2,TRUE,,,,0.76,0.83,0.72,0.73,,,,,
qwen_qwen-plus_20260529T130821Z,6e015d82-a305-4c87-88a4-165d96ef2bf0,7aa148d5-18f6-4b57-8e02-bfb5e9638cfc,2026-05-29T13:08:35.071896+00:00,qwen,qwen-plus,0.7,2,0da13293eab055d0,IP_questionnaire_plus_cpt__S0001__nback,questionnaire_plus_cpt,questionnaire plus CPT-label individual prediction,S0001,nback,nback,3,3,TRUE,,,,0.8,0.87,0.76,0.77,,,,,
qwen_qwen-plus_20260529T130821Z,6e015d82-a305-4c87-88a4-165d96ef2bf0,7aa148d5-18f6-4b57-8e02-bfb5e9638cfc,2026-05-29T13:08:35.071896+00:00,qwen,qwen-plus,0.7,2,0da13293eab055d0,IP_questionnaire_plus_cpt__S0001__nback,questionnaire_plus_cpt,questionnaire plus CPT-label individual prediction,S0001,nback,nback,4,4,TRUE,,,,0.79,0.86,0.75,0.76,,,,,
qwen_qwen-plus_20260529T130821Z,6e015d82-a305-4c87-88a4-165d96ef2bf0,7aa148d5-18f6-4b57-8e02-bfb5e9638cfc,2026-05-29T13:08:35.071896+00:00,qwen,qwen-plus,0.7,2,0da13293eab055d0,IP_questionnaire_plus_cpt__S0001__nback,questionnaire_plus_cpt,questionnaire plus CPT-label individual prediction,S0001,nback,nback,5,5,TRUE,,,,0.77,0.84,0.73,0.74,,,,,
