run_id,call_id,batch_id,timestamp_utc,provider,model,temperature,prompt_index,prompt_hash,prompt_id,ablation_condition,condition_name,profile_id,task_id,task_code,repeat_id,sample_in_call,success,accuracy,mean_rt_ms,interference_effect_ms,overall_accuracy,accuracy_1back,accuracy_2back,accuracy_3back,adjusted_average_pumps,total_earnings,explosion_count,discounting_k,log_discounting_k
qwen_deepseek-v4-pro_20260529T063655Z,eb83d023-cf80-4a47-945a-4228419af739,6afb4611-3a94-42e2-8010-9456e7fff748,2026-05-29T06:37:04.798330+00:00,qwen,deepseek-v4-pro,0.7,1,bdcd2ff85bf195b7,IP_questionnaire_only__S0001__stroop,questionnaire_only,questionnaire-only individual prediction,S0001,stroop,stroop,1,1,TRUE,0.85,750,120,,,,,,,,,
qwen_deepseek-v4-pro_20260529T063655Z,eb83d023-cf80-4a47-945a-4228419af739,6afb4611-3a94-42e2-8010-9456e7fff748,2026-05-29T06:37:04.798330+00:00,qwen,deepseek-v4-pro,0.7,1,bdcd2ff85bf195b7,IP_questionnaire_only__S0001__stroop,questionnaire_only,questionnaire-only individual prediction,S0001,stroop,stroop,2,2,TRUE,0.88,720,110,,,,,,,,,
qwen_deepseek-v4-pro_20260529T063655Z,eb83d023-cf80-4a47-945a-4228419af739,6afb4611-3a94-42e2-8010-9456e7fff748,2026-05-29T06:37:04.798330+00:00,qwen,deepseek-v4-pro,0.7,1,bdcd2ff85bf195b7,IP_questionnaire_only__S0001__stroop,questionnaire_only,questionnaire-only individual prediction,S0001,stroop,stroop,3,3,TRUE,0.82,780,130,,,,,,,,,
qwen_deepseek-v4-pro_20260529T063655Z,eb83d023-cf80-4a47-945a-4228419af739,6afb4611-3a94-42e2-8010-9456e7fff748,2026-05-29T06:37:04.798330+00:00,qwen,deepseek-v4-pro,0.7,1,bdcd2ff85bf195b7,IP_questionnaire_only__S0001__stroop,questionnaire_only,questionnaire-only individual prediction,S0001,stroop,stroop,4,4,TRUE,0.87,740,115,,,,,,,,,
qwen_deepseek-v4-pro_20260529T063655Z,eb83d023-cf80-4a47-945a-4228419af739,6afb4611-3a94-42e2-8010-9456e7fff748,2026-05-29T06:37:04.798330+00:00,qwen,deepseek-v4-pro,0.7,1,bdcd2ff85bf195b7,IP_questionnaire_only__S0001__stroop,questionnaire_only,questionnaire-only individual prediction,S0001,stroop,stroop,5,5,TRUE,0.84,760,125,,,,,,,,,
qwen_deepseek-v4-pro_20260529T063655Z,09efeb0b-3cae-4783-8e51-800e606378f1,4d8e65ce-a6c4-4b9b-89cd-12dafa5d4b48,2026-05-29T06:37:16.995981+00:00,qwen,deepseek-v4-pro,0.7,2,ae166c1eb6ee5f97,IP_questionnaire_only__S0001__nback,questionnaire_only,questionnaire-only individual prediction,S0001,nback,nback,1,1,TRUE,,,,0.68,0.85,0.73,0.46,,,,,
qwen_deepseek-v4-pro_20260529T063655Z,09efeb0b-3cae-4783-8e51-800e606378f1,4d8e65ce-a6c4-4b9b-89cd-12dafa5d4b48,2026-05-29T06:37:16.995981+00:00,qwen,deepseek-v4-pro,0.7,2,ae166c1eb6ee5f97,IP_questionnaire_only__S0001__nback,questionnaire_only,questionnaire-only individual prediction,S0001,nback,nback,2,2,TRUE,,,,0.72,0.88,0.7,0.58,,,,,
qwen_deepseek-v4-pro_20260529T063655Z,09efeb0b-3cae-4783-8e51-800e606378f1,4d8e65ce-a6c4-4b9b-89cd-12dafa5d4b48,2026-05-29T06:37:16.995981+00:00,qwen,deepseek-v4-pro,0.7,2,ae166c1eb6ee5f97,IP_questionnaire_only__S0001__nback,questionnaire_only,questionnaire-only individual prediction,S0001,nback,nback,3,3,TRUE,,,,0.65,0.82,0.68,0.45,,,,,
qwen_deepseek-v4-pro_20260529T063655Z,09efeb0b-3cae-4783-8e51-800e606378f1,4d8e65ce-a6c4-4b9b-89cd-12dafa5d4b48,2026-05-29T06:37:16.995981+00:00,qwen,deepseek-v4-pro,0.7,2,ae166c1eb6ee5f97,IP_questionnaire_only__S0001__nback,questionnaire_only,questionnaire-only individual prediction,S0001,nback,nback,4,4,TRUE,,,,0.7,0.87,0.72,0.51,,,,,
qwen_deepseek-v4-pro_20260529T063655Z,09efeb0b-3cae-4783-8e51-800e606378f1,4d8e65ce-a6c4-4b9b-89cd-12dafa5d4b48,2026-05-29T06:37:16.997319+00:00,qwen,deepseek-v4-pro,0.7,2,ae166c1eb6ee5f97,IP_questionnaire_only__S0001__nback,questionnaire_only,questionnaire-only individual prediction,S0001,nback,nback,5,5,TRUE,,,,0.66,0.84,0.69,0.45,,,,,
