run_id,call_id,batch_id,provider,model,temperature,prompt_id,repeat_id,sample_in_call,timestamp_utc,experiment_type,condition_id,condition_name,label_cue,score_cue,symptom_cue,profile_id,profile_short,ia_like_profile,participant_uid,feature_condition,task_id,task_name,prompt_hash,input_tokens,output_tokens,accuracy,mean_rt_ms,rt_sd_ms,interference_effect_ms
IA_qwen_deepseek-v4pro_20260602T114140Z,91f9c3cb-b38e-4301-9fbe-11edbe9a1056,1,qwen,deepseek-v4pro,0.3,IA_individual_plus_label_S0001_stroop,1,1,2026-06-02T11:41:46.411496+00:00,individual_prediction,,,,,,,,,S0001,questionnaire_plus_ia_label,stroop,Stroop color-word task,3205fb173cbb,480,271,0.87,685,112,145
IA_qwen_deepseek-v4pro_20260602T114140Z,91f9c3cb-b38e-4301-9fbe-11edbe9a1056,1,qwen,deepseek-v4pro,0.3,IA_individual_plus_label_S0001_stroop,2,2,2026-06-02T11:41:46.411496+00:00,individual_prediction,,,,,,,,,S0001,questionnaire_plus_ia_label,stroop,Stroop color-word task,3205fb173cbb,480,271,0.91,672,98,138
IA_qwen_deepseek-v4pro_20260602T114140Z,91f9c3cb-b38e-4301-9fbe-11edbe9a1056,1,qwen,deepseek-v4pro,0.3,IA_individual_plus_label_S0001_stroop,3,3,2026-06-02T11:41:46.411496+00:00,individual_prediction,,,,,,,,,S0001,questionnaire_plus_ia_label,stroop,Stroop color-word task,3205fb173cbb,480,271,0.89,698,105,152
IA_qwen_deepseek-v4pro_20260602T114140Z,91f9c3cb-b38e-4301-9fbe-11edbe9a1056,1,qwen,deepseek-v4pro,0.3,IA_individual_plus_label_S0001_stroop,4,4,2026-06-02T11:41:46.411496+00:00,individual_prediction,,,,,,,,,S0001,questionnaire_plus_ia_label,stroop,Stroop color-word task,3205fb173cbb,480,271,0.85,710,120,160
IA_qwen_deepseek-v4pro_20260602T114140Z,91f9c3cb-b38e-4301-9fbe-11edbe9a1056,1,qwen,deepseek-v4pro,0.3,IA_individual_plus_label_S0001_stroop,5,5,2026-06-02T11:41:46.411496+00:00,individual_prediction,,,,,,,,,S0001,questionnaire_plus_ia_label,stroop,Stroop color-word task,3205fb173cbb,480,271,0.88,680,108,142
IA_qwen_deepseek-v4pro_20260602T114140Z,6757f79d-a10a-4dfc-aa12-ee620a7e9d9d,1,qwen,deepseek-v4pro,0.3,IA_individual_plus_label_S0001_nback,1,1,2026-06-02T11:41:52.985900+00:00,individual_prediction,,,,,,,,,S0001,questionnaire_plus_ia_label,nback,n-back working-memory task,dc8c7292bdb9,499,311,0.78,0.92,0.75,0.67
IA_qwen_deepseek-v4pro_20260602T114140Z,6757f79d-a10a-4dfc-aa12-ee620a7e9d9d,1,qwen,deepseek-v4pro,0.3,IA_individual_plus_label_S0001_nback,2,2,2026-06-02T11:41:52.985900+00:00,individual_prediction,,,,,,,,,S0001,questionnaire_plus_ia_label,nback,n-back working-memory task,dc8c7292bdb9,499,311,0.76,0.91,0.74,0.63
IA_qwen_deepseek-v4pro_20260602T114140Z,6757f79d-a10a-4dfc-aa12-ee620a7e9d9d,1,qwen,deepseek-v4pro,0.3,IA_individual_plus_label_S0001_nback,3,3,2026-06-02T11:41:52.985900+00:00,individual_prediction,,,,,,,,,S0001,questionnaire_plus_ia_label,nback,n-back working-memory task,dc8c7292bdb9,499,311,0.79,0.93,0.77,0.67
IA_qwen_deepseek-v4pro_20260602T114140Z,6757f79d-a10a-4dfc-aa12-ee620a7e9d9d,1,qwen,deepseek-v4pro,0.3,IA_individual_plus_label_S0001_nback,4,4,2026-06-02T11:41:52.985900+00:00,individual_prediction,,,,,,,,,S0001,questionnaire_plus_ia_label,nback,n-back working-memory task,dc8c7292bdb9,499,311,0.77,0.9,0.76,0.65
IA_qwen_deepseek-v4pro_20260602T114140Z,6757f79d-a10a-4dfc-aa12-ee620a7e9d9d,1,qwen,deepseek-v4pro,0.3,IA_individual_plus_label_S0001_nback,5,5,2026-06-02T11:41:52.985900+00:00,individual_prediction,,,,,,,,,S0001,questionnaire_plus_ia_label,nback,n-back working-memory task,dc8c7292bdb9,499,311,0.78,0.92,0.75,0.67
