run_id,call_id,batch_id,provider,model,temperature,prompt_id,repeat_id,sample_in_call,timestamp_utc,experiment_type,condition_id,condition_name,label_cue,score_cue,symptom_cue,profile_id,profile_short,ia_like_profile,participant_uid,feature_condition,task_id,task_name,prompt_hash,input_tokens,output_tokens,accuracy,mean_rt_ms,rt_sd_ms,interference_effect_ms
IA_qwen_qwen-plus_20260602T114507Z,4c09e09c-a9a3-48fe-b649-78521e10fbc5,1,qwen,qwen-plus,0.3,IA_individual_plus_label_S0001_stroop,1,1,2026-06-02T11:45:16.847934+00:00,individual_prediction,,,,,,,,,S0001,questionnaire_plus_ia_label,stroop,Stroop color-word task,3205fb173cbb,485,289,0.85,620,120,150
IA_qwen_qwen-plus_20260602T114507Z,4c09e09c-a9a3-48fe-b649-78521e10fbc5,1,qwen,qwen-plus,0.3,IA_individual_plus_label_S0001_stroop,2,2,2026-06-02T11:45:16.847934+00:00,individual_prediction,,,,,,,,,S0001,questionnaire_plus_ia_label,stroop,Stroop color-word task,3205fb173cbb,485,289,0.83,630,110,140
IA_qwen_qwen-plus_20260602T114507Z,4c09e09c-a9a3-48fe-b649-78521e10fbc5,1,qwen,qwen-plus,0.3,IA_individual_plus_label_S0001_stroop,3,3,2026-06-02T11:45:16.847934+00:00,individual_prediction,,,,,,,,,S0001,questionnaire_plus_ia_label,stroop,Stroop color-word task,3205fb173cbb,485,289,0.87,610,130,160
IA_qwen_qwen-plus_20260602T114507Z,4c09e09c-a9a3-48fe-b649-78521e10fbc5,1,qwen,qwen-plus,0.3,IA_individual_plus_label_S0001_stroop,4,4,2026-06-02T11:45:16.847934+00:00,individual_prediction,,,,,,,,,S0001,questionnaire_plus_ia_label,stroop,Stroop color-word task,3205fb173cbb,485,289,0.84,625,115,145
IA_qwen_qwen-plus_20260602T114507Z,4c09e09c-a9a3-48fe-b649-78521e10fbc5,1,qwen,qwen-plus,0.3,IA_individual_plus_label_S0001_stroop,5,5,2026-06-02T11:45:16.847934+00:00,individual_prediction,,,,,,,,,S0001,questionnaire_plus_ia_label,stroop,Stroop color-word task,3205fb173cbb,485,289,0.86,615,125,155
IA_qwen_qwen-plus_20260602T114507Z,2ae737d7-9a67-455f-b3c2-52cd718c3b8b,1,qwen,qwen-plus,0.3,IA_individual_plus_label_S0001_nback,1,1,2026-06-02T11:45:27.176773+00:00,individual_prediction,,,,,,,,,S0001,questionnaire_plus_ia_label,nback,n-back working-memory task,dc8c7292bdb9,504,316,0.75,0.82,0.7,0.68
IA_qwen_qwen-plus_20260602T114507Z,2ae737d7-9a67-455f-b3c2-52cd718c3b8b,1,qwen,qwen-plus,0.3,IA_individual_plus_label_S0001_nback,2,2,2026-06-02T11:45:27.176773+00:00,individual_prediction,,,,,,,,,S0001,questionnaire_plus_ia_label,nback,n-back working-memory task,dc8c7292bdb9,504,316,0.74,0.8,0.72,0.67
IA_qwen_qwen-plus_20260602T114507Z,2ae737d7-9a67-455f-b3c2-52cd718c3b8b,1,qwen,qwen-plus,0.3,IA_individual_plus_label_S0001_nback,3,3,2026-06-02T11:45:27.176773+00:00,individual_prediction,,,,,,,,,S0001,questionnaire_plus_ia_label,nback,n-back working-memory task,dc8c7292bdb9,504,316,0.76,0.83,0.69,0.69
IA_qwen_qwen-plus_20260602T114507Z,2ae737d7-9a67-455f-b3c2-52cd718c3b8b,1,qwen,qwen-plus,0.3,IA_individual_plus_label_S0001_nback,4,4,2026-06-02T11:45:27.176773+00:00,individual_prediction,,,,,,,,,S0001,questionnaire_plus_ia_label,nback,n-back working-memory task,dc8c7292bdb9,504,316,0.73,0.81,0.71,0.66
IA_qwen_qwen-plus_20260602T114507Z,2ae737d7-9a67-455f-b3c2-52cd718c3b8b,1,qwen,qwen-plus,0.3,IA_individual_plus_label_S0001_nback,5,5,2026-06-02T11:45:27.176773+00:00,individual_prediction,,,,,,,,,S0001,questionnaire_plus_ia_label,nback,n-back working-memory task,dc8c7292bdb9,504,316,0.77,0.84,0.68,0.7
IA_qwen_qwen-plus_20260602T114507Z,98b16c34-0d5f-4346-a200-5a78cd562602,1,qwen,qwen-plus,0.3,IA_individual_plus_label_S0001_bart,1,1,2026-06-02T11:45:36.784462+00:00,individual_prediction,,,,,,,,,S0001,questionnaire_plus_ia_label,bart,Balloon Analogue Risk Task,8b38fff740c8,495,318,35.2,67.8,4,0.65
IA_qwen_qwen-plus_20260602T114507Z,98b16c34-0d5f-4346-a200-5a78cd562602,1,qwen,qwen-plus,0.3,IA_individual_plus_label_S0001_bart,2,2,2026-06-02T11:45:36.784462+00:00,individual_prediction,,,,,,,,,S0001,questionnaire_plus_ia_label,bart,Balloon Analogue Risk Task,8b38fff740c8,495,318,34.1,69.3,3,0.62
IA_qwen_qwen-plus_20260602T114507Z,98b16c34-0d5f-4346-a200-5a78cd562602,1,qwen,qwen-plus,0.3,IA_individual_plus_label_S0001_bart,3,3,2026-06-02T11:45:36.784462+00:00,individual_prediction,,,,,,,,,S0001,questionnaire_plus_ia_label,bart,Balloon Analogue Risk Task,8b38fff740c8,495,318,36.5,65.9,5,0.68
IA_qwen_qwen-plus_20260602T114507Z,98b16c34-0d5f-4346-a200-5a78cd562602,1,qwen,qwen-plus,0.3,IA_individual_plus_label_S0001_bart,4,4,2026-06-02T11:45:36.784462+00:00,individual_prediction,,,,,,,,,S0001,questionnaire_plus_ia_label,bart,Balloon Analogue Risk Task,8b38fff740c8,495,318,33.8,71.2,2,0.61
IA_qwen_qwen-plus_20260602T114507Z,98b16c34-0d5f-4346-a200-5a78cd562602,1,qwen,qwen-plus,0.3,IA_individual_plus_label_S0001_bart,5,5,2026-06-02T11:45:36.784462+00:00,individual_prediction,,,,,,,,,S0001,questionnaire_plus_ia_label,bart,Balloon Analogue Risk Task,8b38fff740c8,495,318,37.3,64.5,6,0.7
IA_qwen_qwen-plus_20260602T114507Z,6391c044-0573-4c7e-8210-06a9069578ca,1,qwen,qwen-plus,0.3,IA_individual_plus_label_S0001_ddt,1,1,2026-06-02T11:45:47.585980+00:00,individual_prediction,,,,,,,,,S0001,questionnaire_plus_ia_label,ddt,Delay Discounting Task,4a2bb7c99fcd,481,308,0.05,-2.995732274,0.65,
IA_qwen_qwen-plus_20260602T114507Z,6391c044-0573-4c7e-8210-06a9069578ca,1,qwen,qwen-plus,0.3,IA_individual_plus_label_S0001_ddt,2,2,2026-06-02T11:45:47.585980+00:00,individual_prediction,,,,,,,,,S0001,questionnaire_plus_ia_label,ddt,Delay Discounting Task,4a2bb7c99fcd,481,308,0.06,-2.813410717,0.7,
IA_qwen_qwen-plus_20260602T114507Z,6391c044-0573-4c7e-8210-06a9069578ca,1,qwen,qwen-plus,0.3,IA_individual_plus_label_S0001_ddt,3,3,2026-06-02T11:45:47.585980+00:00,individual_prediction,,,,,,,,,S0001,questionnaire_plus_ia_label,ddt,Delay Discounting Task,4a2bb7c99fcd,481,308,0.04,-3.218875825,0.6,
IA_qwen_qwen-plus_20260602T114507Z,6391c044-0573-4c7e-8210-06a9069578ca,1,qwen,qwen-plus,0.3,IA_individual_plus_label_S0001_ddt,4,4,2026-06-02T11:45:47.585980+00:00,individual_prediction,,,,,,,,,S0001,questionnaire_plus_ia_label,ddt,Delay Discounting Task,4a2bb7c99fcd,481,308,0.07,-2.659260037,0.75,
IA_qwen_qwen-plus_20260602T114507Z,6391c044-0573-4c7e-8210-06a9069578ca,1,qwen,qwen-plus,0.3,IA_individual_plus_label_S0001_ddt,5,5,2026-06-02T11:45:47.585980+00:00,individual_prediction,,,,,,,,,S0001,questionnaire_plus_ia_label,ddt,Delay Discounting Task,4a2bb7c99fcd,481,308,0.055,-2.890371758,0.68,
IA_qwen_qwen-plus_20260602T114507Z,2fdc64e6-cd3d-4faf-a96f-92c57b25e3e0,1,qwen,qwen-plus,0.3,IA_individual_plus_label_S0002_stroop,1,1,2026-06-02T11:45:58.720928+00:00,individual_prediction,,,,,,,,,S0002,questionnaire_plus_ia_label,stroop,Stroop color-word task,a123ecddaf53,485,284,0.85,620,120,70
IA_qwen_qwen-plus_20260602T114507Z,2fdc64e6-cd3d-4faf-a96f-92c57b25e3e0,1,qwen,qwen-plus,0.3,IA_individual_plus_label_S0002_stroop,2,2,2026-06-02T11:45:58.720928+00:00,individual_prediction,,,,,,,,,S0002,questionnaire_plus_ia_label,stroop,Stroop color-word task,a123ecddaf53,485,284,0.83,640,110,80
